record_id,timestamp,plant,production_line,machine_id,electricity_kWh,gas_m3,compressed_air_m3,water_liters,steam_kg,peak_demand_kW,power_factor,reactive_power_kVAR,carbon_kg_CO2e,energy_intensity_kWh_unit,tariff_rate_USD_kWh,energy_cost_USD,shift,operating_mode
ENG-001457,2024-03-01 16:00:11,Plant-C,LINE-8,MCH-048,134.109,10.744,98.91,273.3,113.08,222.26,0.9014,35.94,51.792,0.7633,0.16,12.31,Morning,Standby
ENG-001458,2024-03-01 17:00:25,Plant-C,LINE-3,MCH-005,80.327,14.429,78.52,488.6,141.1,238.21,0.9217,43.35,65.161,0.6087,0.13,18.76,Morning,Production
ENG-001459,2024-03-01 18:00:23,Plant-A,LINE-9,MCH-035,158.108,18.595,78.52,401.7,160.85,186.91,0.9194,33.56,58.406,0.649,0.16,14.14,Afternoon,Production
ENG-001460,2024-03-01 19:00:15,Plant-B,LINE-9,MCH-021,93.529,15.401,81.64,575.1,270.58,143.23,0.8858,33.11,36.472,0.9031,0.13,20.36,Night,Production
ENG-001461,2024-03-01 20:00:25,Plant-B,LINE-6,MCH-020,100.101,10.027,76.9,373.2,170.51,153.61,0.841,43.15,55.595,0.5972,0.1,10.75,Morning,Standby
ENG-001462,2024-03-01 21:00:18,Plant-A,LINE-4,MCH-016,107.415,13.502,104.74,171.4,188.19,118.11,1.0,40.46,59.632,0.9161,0.1,11.95,Night,Maintenance
ENG-001463,2024-03-01 22:00:28,Plant-C,LINE-10,MCH-034,77.533,13.961,68.39,271.7,252.55,159.8,0.8513,27.1,34.302,1.3285,0.13,18.42,Afternoon,Production
ENG-001464,2024-03-01 23:00:13,Plant-B,LINE-10,MCH-036,120.518,11.713,92.94,688.1,278.85,178.9,0.9683,31.35,69.471,0.7729,0.1,8.38,Afternoon,Production
ENG-001465,2024-03-02 00:00:10,Plant-B,LINE-7,MCH-035,112.181,19.588,85.69,275.9,231.38,112.82,0.8847,31.72,38.331,0.9543,0.16,11.73,Night,Production
ENG-001466,2024-03-02 01:00:30,Plant-B,LINE-1,MCH-001,119.69,12.147,113.76,527.2,85.56,239.88,0.9183,33.85,61.514,0.8244,0.13,20.93,Afternoon,Idle
ENG-001467,2024-03-02 02:00:13,Plant-C,LINE-1,MCH-020,97.592,16.292,57.04,403.4,220.12,239.22,0.9448,36.61,59.152,0.8647,0.16,8.68,Afternoon,Production
ENG-001468,2024-03-02 03:00:05,Plant-A,LINE-4,MCH-010,151.582,16.718,67.35,542.7,138.71,178.43,0.9914,35.9,71.115,0.6712,0.1,7.73,Night,Production
ENG-001469,2024-03-02 04:00:17,Plant-B,LINE-3,MCH-039,156.677,22.749,73.52,606.6,271.33,184.9,0.8671,14.62,62.568,1.1237,0.08,9.58,Afternoon,Production
ENG-001470,2024-03-02 05:00:00,Plant-A,LINE-4,MCH-046,112.966,21.577,88.99,605.8,162.4,188.79,0.9774,31.33,84.388,0.706,0.1,18.82,Night,Production
ENG-001471,2024-03-02 06:00:15,Plant-B,LINE-3,MCH-017,89.996,31.311,83.75,472.6,136.34,144.32,0.8385,35.59,38.013,0.6599,0.1,7.23,Afternoon,Production
ENG-001472,2024-03-02 07:00:06,Plant-B,LINE-1,MCH-014,146.016,16.896,86.15,688.3,268.81,149.36,0.8926,30.01,64.196,0.6801,0.1,11.83,Night,Idle
ENG-001473,2024-03-02 08:00:28,Plant-B,LINE-4,MCH-016,98.071,14.956,117.54,497.1,212.67,194.57,0.8235,22.17,60.05,0.6009,0.13,19.98,Morning,Standby
ENG-001474,2024-03-02 09:00:07,Plant-B,LINE-9,MCH-043,151.669,17.653,83.18,569.6,159.42,147.86,0.9696,33.98,77.536,0.9726,0.08,12.39,Night,Idle
ENG-001475,2024-03-02 10:00:11,Plant-A,LINE-3,MCH-026,150.131,18.986,93.34,478.8,243.22,251.88,0.9256,23.63,74.744,0.7246,0.1,11.72,Morning,Production
ENG-001476,2024-03-02 11:00:00,Plant-C,LINE-7,MCH-007,59.822,15.75,93.77,420.2,132.65,128.71,0.899,34.96,40.538,0.9162,0.08,19.79,Morning,Production
ENG-001477,2024-03-02 12:00:00,Plant-C,LINE-1,MCH-018,176.153,20.046,81.75,449.4,200.92,220.07,0.9852,25.33,81.33,0.9984,0.16,14.31,Afternoon,Idle
ENG-001478,2024-03-02 13:00:13,Plant-A,LINE-8,MCH-020,115.668,13.474,135.48,530.8,221.07,240.89,0.9372,22.01,52.631,0.4799,0.16,10.01,Morning,Idle
ENG-001479,2024-03-02 14:00:22,Plant-C,LINE-2,MCH-028,109.156,9.504,60.32,217.9,250.11,195.7,0.8153,28.6,93.976,0.5749,0.13,11.75,Afternoon,Maintenance
ENG-001480,2024-03-02 15:00:08,Plant-C,LINE-9,MCH-046,151.553,16.043,103.46,499.1,154.85,202.47,0.8372,25.47,56.659,0.8515,0.13,12.81,Night,Production
ENG-001481,2024-03-02 16:00:27,Plant-B,LINE-6,MCH-021,127.947,7.578,67.5,521.8,312.78,218.73,0.9667,41.75,52.465,0.8313,0.16,13.09,Afternoon,Production
ENG-001482,2024-03-02 17:00:22,Plant-B,LINE-5,MCH-039,85.168,11.003,71.39,413.4,160.2,192.44,0.8412,28.48,57.676,1.1531,0.08,20.26,Morning,Maintenance
ENG-001483,2024-03-02 18:00:10,Plant-C,LINE-1,MCH-047,185.727,10.081,85.05,310.2,88.48,174.81,0.8781,22.97,65.81,0.7112,0.08,15.51,Morning,Standby
ENG-001484,2024-03-02 19:00:24,Plant-C,LINE-1,MCH-023,133.542,11.513,131.98,871.6,248.9,168.23,0.947,23.38,19.161,0.9314,0.13,22.8,Afternoon,Production
ENG-001485,2024-03-02 20:00:10,Plant-A,LINE-8,MCH-028,63.102,13.34,119.51,338.0,292.06,180.98,0.9497,37.66,67.343,1.0893,0.1,15.41,Night,Production
ENG-001486,2024-03-02 21:00:23,Plant-A,LINE-1,MCH-008,109.901,12.715,38.34,519.6,111.71,68.95,0.9491,15.69,63.024,0.9886,0.08,7.82,Afternoon,Production
ENG-001487,2024-03-02 22:00:16,Plant-C,LINE-1,MCH-001,154.415,22.769,72.13,714.2,176.66,194.34,0.9311,21.4,57.06,0.7304,0.08,10.45,Morning,Idle
ENG-001488,2024-03-02 23:00:01,Plant-A,LINE-3,MCH-024,174.559,10.698,93.73,545.8,205.91,208.12,0.9441,42.44,58.456,0.8047,0.08,15.8,Afternoon,Production
ENG-001489,2024-03-03 00:00:28,Plant-C,LINE-4,MCH-024,118.534,15.483,82.73,644.9,325.58,149.41,0.8827,33.37,61.465,1.4966,0.13,8.45,Morning,Maintenance
ENG-001490,2024-03-03 01:00:09,Plant-C,LINE-7,MCH-030,152.507,20.315,62.86,425.5,176.19,181.77,0.9314,32.65,61.11,0.7848,0.13,19.43,Morning,Production
ENG-001491,2024-03-03 02:00:25,Plant-A,LINE-2,MCH-041,135.862,14.623,77.48,567.1,254.85,252.1,0.925,39.41,66.044,0.6101,0.16,13.72,Morning,Production
ENG-001492,2024-03-03 03:00:16,Plant-C,LINE-3,MCH-047,176.614,18.107,70.66,492.5,249.8,174.21,0.9282,19.24,58.38,1.0725,0.13,13.29,Afternoon,Idle
ENG-001493,2024-03-03 04:00:05,Plant-A,LINE-1,MCH-027,121.921,20.562,95.95,652.7,186.14,130.96,0.8557,24.65,61.102,0.5119,0.13,20.37,Afternoon,Production
ENG-001494,2024-03-03 05:00:19,Plant-A,LINE-7,MCH-039,124.267,2.382,80.98,305.3,122.04,188.4,0.819,10.86,46.378,0.4937,0.16,21.33,Afternoon,Standby
ENG-001495,2024-03-03 06:00:28,Plant-B,LINE-1,MCH-042,135.198,18.519,68.7,476.0,89.54,182.51,0.8523,11.88,64.979,0.9502,0.08,14.86,Morning,Production
ENG-001496,2024-03-03 07:00:09,Plant-B,LINE-10,MCH-008,115.714,17.487,56.62,231.1,227.34,141.09,0.974,36.7,53.871,0.766,0.13,14.94,Night,Idle
ENG-001497,2024-03-03 08:00:01,Plant-A,LINE-9,MCH-024,101.587,11.575,77.66,405.2,267.86,199.08,0.8979,23.29,61.87,1.0816,0.08,8.67,Night,Idle
ENG-001498,2024-03-03 09:00:15,Plant-A,LINE-8,MCH-002,165.889,9.004,83.49,697.7,86.93,149.61,1.0,27.61,69.453,0.9396,0.16,5.72,Night,Production
ENG-001499,2024-03-03 10:00:27,Plant-B,LINE-9,MCH-034,153.632,13.083,62.85,462.8,115.5,204.04,0.9178,44.99,67.309,0.3811,0.13,12.39,Night,Production
ENG-001500,2024-03-03 11:00:21,Plant-C,LINE-8,MCH-046,100.393,17.535,92.0,690.1,189.63,203.88,0.8688,36.87,72.189,0.6984,0.13,11.99,Afternoon,Idle
ENG-001501,2024-03-03 12:00:17,Plant-C,LINE-7,MCH-048,100.879,13.454,101.52,178.7,214.83,235.99,0.903,6.16,65.559,0.582,0.16,20.39,Afternoon,Idle
ENG-001502,2024-03-03 13:00:05,Plant-A,LINE-9,MCH-025,79.341,12.525,83.04,577.8,216.19,194.18,0.9459,32.5,45.467,1.1404,0.16,15.42,Night,Production
ENG-001503,2024-03-03 14:00:16,Plant-C,LINE-2,MCH-047,101.781,15.511,60.26,277.3,296.56,174.78,0.8315,25.92,74.331,0.9575,0.13,14.92,Afternoon,Standby
ENG-001504,2024-03-03 15:00:12,Plant-C,LINE-9,MCH-013,119.23,10.988,111.95,348.1,268.55,200.78,0.9215,18.44,62.178,0.5138,0.16,10.73,Afternoon,Idle
ENG-001505,2024-03-03 16:00:05,Plant-B,LINE-2,MCH-042,115.335,17.513,94.31,397.0,251.84,210.09,0.9238,25.76,58.181,0.84,0.08,12.5,Afternoon,Production
ENG-001506,2024-03-03 17:00:11,Plant-A,LINE-5,MCH-020,158.884,15.297,79.75,643.3,74.28,198.35,0.9513,38.95,89.05,0.6076,0.1,19.07,Afternoon,Production
ENG-001507,2024-03-03 18:00:23,Plant-C,LINE-10,MCH-048,127.379,15.161,83.25,438.8,30.02,220.27,0.8575,23.58,56.36,0.905,0.1,11.91,Afternoon,Production
ENG-001508,2024-03-03 19:00:11,Plant-B,LINE-5,MCH-005,96.24,8.973,89.85,739.0,254.14,245.38,1.0,28.29,47.922,1.1123,0.16,17.77,Night,Production
ENG-001509,2024-03-03 20:00:16,Plant-C,LINE-8,MCH-022,105.318,17.406,66.49,477.2,245.75,141.9,0.8618,24.24,68.026,1.0047,0.16,11.61,Night,Production
ENG-001510,2024-03-03 21:00:14,Plant-C,LINE-10,MCH-005,117.962,11.452,76.15,388.6,263.89,168.92,0.9725,31.05,58.478,0.6586,0.1,13.07,Afternoon,Idle
ENG-001511,2024-03-03 22:00:23,Plant-B,LINE-9,MCH-008,157.284,19.578,105.51,481.1,84.6,158.67,0.8628,41.7,88.156,1.0682,0.1,14.0,Afternoon,Production
ENG-001512,2024-03-03 23:00:05,Plant-C,LINE-7,MCH-050,107.922,7.92,101.34,514.4,219.63,169.44,0.9141,31.54,70.875,0.6635,0.16,21.36,Morning,Idle
ENG-001513,2024-03-04 00:00:18,Plant-C,LINE-7,MCH-018,104.154,7.635,60.41,364.6,172.81,267.26,0.8687,36.78,75.643,1.0588,0.16,20.42,Afternoon,Standby
ENG-001514,2024-03-04 01:00:06,Plant-C,LINE-6,MCH-007,126.189,13.65,75.52,103.3,225.87,127.72,0.9031,21.26,72.999,0.93,0.13,24.06,Afternoon,Production
ENG-001515,2024-03-04 02:00:27,Plant-C,LINE-10,MCH-033,95.121,13.347,97.04,408.8,265.16,108.28,0.9448,53.68,60.146,1.0906,0.08,16.9,Night,Production
ENG-001516,2024-03-04 03:00:23,Plant-A,LINE-2,MCH-018,97.852,13.828,92.86,655.5,201.26,185.67,0.9757,32.1,73.759,0.8448,0.13,9.18,Night,Standby
ENG-001517,2024-03-04 04:00:23,Plant-C,LINE-8,MCH-011,103.578,10.681,61.06,345.2,102.48,255.93,0.8533,14.59,65.693,0.7874,0.13,17.26,Morning,Production
ENG-001518,2024-03-04 05:00:14,Plant-C,LINE-3,MCH-023,188.897,12.856,54.28,384.4,233.3,169.15,0.903,35.12,63.768,0.6481,0.13,10.67,Night,Production
ENG-001519,2024-03-04 06:00:00,Plant-B,LINE-6,MCH-031,62.695,11.191,102.41,635.8,181.9,91.49,0.9362,26.63,58.931,0.7047,0.16,8.4,Afternoon,Production
ENG-001520,2024-03-04 07:00:24,Plant-A,LINE-7,MCH-049,82.71,8.226,107.42,570.3,225.05,127.28,0.8641,47.72,60.071,1.0353,0.08,16.02,Night,Production
ENG-001521,2024-03-04 08:00:13,Plant-C,LINE-8,MCH-032,92.945,8.254,52.27,567.7,274.14,106.41,0.8911,42.23,63.323,0.7862,0.1,7.81,Night,Production
ENG-001522,2024-03-04 09:00:28,Plant-B,LINE-10,MCH-036,130.041,20.211,60.57,351.2,140.84,146.49,0.9624,16.62,81.658,0.4349,0.08,24.11,Morning,Maintenance
ENG-001523,2024-03-04 10:00:24,Plant-C,LINE-3,MCH-046,138.228,9.018,70.59,294.3,319.43,183.63,0.9122,21.53,78.485,0.7405,0.1,16.87,Night,Production
ENG-001524,2024-03-04 11:00:05,Plant-C,LINE-5,MCH-027,121.387,23.553,66.83,493.2,125.57,146.72,0.8233,37.81,50.968,0.8547,0.08,14.44,Morning,Production
ENG-001525,2024-03-04 12:00:20,Plant-A,LINE-9,MCH-044,111.315,16.439,70.4,590.7,169.64,114.3,0.8832,35.65,76.034,0.9633,0.08,11.24,Afternoon,Production
ENG-001526,2024-03-04 13:00:20,Plant-C,LINE-7,MCH-009,103.169,15.758,78.28,527.5,141.97,204.8,0.8939,29.8,61.576,0.7384,0.08,15.29,Night,Production
ENG-001527,2024-03-04 14:00:11,Plant-A,LINE-4,MCH-042,144.718,14.147,67.02,409.6,210.51,174.35,0.8948,26.54,38.038,0.5992,0.1,9.76,Morning,Maintenance
ENG-001528,2024-03-04 15:00:27,Plant-C,LINE-8,MCH-015,122.031,10.033,80.69,391.9,146.68,174.23,0.9263,27.53,67.844,0.8484,0.08,18.31,Morning,Production
ENG-001529,2024-03-04 16:00:16,Plant-B,LINE-7,MCH-031,126.325,15.739,60.89,350.8,236.55,141.56,0.9597,39.66,72.332,0.7592,0.08,14.23,Morning,Production
ENG-001530,2024-03-04 17:00:30,Plant-B,LINE-5,MCH-004,104.366,11.225,100.46,567.5,252.74,163.59,0.8379,32.54,54.432,1.0963,0.13,24.48,Afternoon,Idle
ENG-001531,2024-03-04 18:00:14,Plant-B,LINE-4,MCH-041,193.643,22.924,56.98,650.8,262.78,210.41,0.8518,40.1,76.657,1.0418,0.1,18.32,Night,Production
ENG-001532,2024-03-04 19:00:23,Plant-A,LINE-10,MCH-006,104.389,17.053,64.29,481.9,145.72,203.56,0.9677,11.62,84.824,1.0997,0.1,11.96,Morning,Production
ENG-001533,2024-03-04 20:00:06,Plant-B,LINE-8,MCH-003,160.358,14.541,88.89,521.2,250.48,180.13,0.9302,15.54,53.214,0.7656,0.1,20.41,Afternoon,Standby
ENG-001534,2024-03-04 21:00:12,Plant-C,LINE-3,MCH-007,151.822,16.747,86.22,522.3,228.82,145.65,0.9383,31.58,70.593,0.5681,0.16,21.71,Afternoon,Production
ENG-001535,2024-03-04 22:00:00,Plant-C,LINE-1,MCH-048,161.11,8.632,109.75,488.2,154.77,180.92,0.8935,32.68,68.431,0.9196,0.13,8.85,Morning,Production
ENG-001536,2024-03-04 23:00:16,Plant-B,LINE-8,MCH-004,147.32,11.535,74.95,379.4,224.44,195.67,0.8973,34.54,57.799,0.6225,0.16,7.95,Morning,Idle
ENG-001537,2024-03-05 00:00:01,Plant-B,LINE-5,MCH-042,143.157,20.079,87.4,531.3,244.28,159.27,0.8507,28.13,43.678,1.0325,0.08,11.23,Night,Production
ENG-001538,2024-03-05 01:00:11,Plant-A,LINE-4,MCH-018,172.785,10.866,42.8,695.8,178.75,222.62,0.9271,22.8,66.097,0.7506,0.13,12.57,Afternoon,Production
ENG-001539,2024-03-05 02:00:11,Plant-B,LINE-5,MCH-016,178.886,10.435,119.79,808.5,230.28,206.22,0.9675,29.9,65.765,0.612,0.08,8.19,Night,Standby
ENG-001540,2024-03-05 03:00:17,Plant-B,LINE-3,MCH-030,143.308,22.131,55.55,692.9,304.13,171.28,0.9627,21.18,61.683,0.7082,0.1,11.27,Night,Standby
ENG-001541,2024-03-05 04:00:04,Plant-C,LINE-8,MCH-034,94.997,14.685,88.99,495.8,190.92,182.7,0.8861,36.07,54.732,0.6212,0.13,15.64,Morning,Production
ENG-001542,2024-03-05 05:00:26,Plant-B,LINE-3,MCH-024,58.968,20.271,111.44,463.0,208.58,202.72,1.0,34.77,43.024,1.0123,0.08,5.45,Afternoon,Production
ENG-001543,2024-03-05 06:00:21,Plant-B,LINE-1,MCH-042,93.234,5.3,92.9,389.5,185.61,211.05,0.9165,22.73,29.835,0.9655,0.08,7.45,Night,Idle
ENG-001544,2024-03-05 07:00:04,Plant-C,LINE-2,MCH-020,96.902,18.393,96.47,627.2,179.07,230.88,0.8231,33.87,43.834,1.2137,0.08,9.5,Morning,Production
ENG-001545,2024-03-05 08:00:13,Plant-A,LINE-2,MCH-006,137.317,12.672,82.01,599.5,263.85,235.25,0.9869,40.96,51.636,0.8099,0.1,14.87,Morning,Production
ENG-001546,2024-03-05 09:00:04,Plant-C,LINE-3,MCH-004,117.677,12.767,82.71,607.7,267.06,176.59,0.934,35.52,42.684,0.8304,0.13,12.42,Morning,Production
ENG-001547,2024-03-05 10:00:24,Plant-A,LINE-7,MCH-026,128.026,8.822,96.64,608.3,138.78,153.38,0.9341,23.82,50.83,0.5659,0.13,10.96,Afternoon,Production
ENG-001548,2024-03-05 11:00:06,Plant-C,LINE-6,MCH-008,129.868,16.662,62.51,730.0,215.64,217.1,0.8906,18.42,58.589,0.9762,0.13,13.05,Afternoon,Idle
ENG-001549,2024-03-05 12:00:29,Plant-A,LINE-2,MCH-039,89.019,15.142,76.45,420.4,280.29,130.89,0.9033,36.67,68.997,0.7795,0.1,7.19,Morning,Standby
ENG-001550,2024-03-05 13:00:22,Plant-B,LINE-7,MCH-032,117.139,16.123,75.04,417.9,228.35,212.5,1.0,26.05,53.886,0.8081,0.08,13.83,Night,Maintenance
ENG-001551,2024-03-05 14:00:21,Plant-B,LINE-3,MCH-011,95.643,6.172,82.2,634.1,233.95,174.35,0.9725,32.2,72.707,0.6931,0.13,13.49,Night,Idle
ENG-001552,2024-03-05 15:00:02,Plant-C,LINE-4,MCH-042,103.032,10.034,52.64,561.3,163.26,193.22,0.9713,42.95,62.099,0.853,0.1,14.3,Night,Production
ENG-001553,2024-03-05 16:00:13,Plant-C,LINE-4,MCH-049,139.813,13.581,91.69,534.6,189.37,149.67,0.901,30.82,62.798,1.2596,0.13,11.75,Morning,Maintenance
ENG-001554,2024-03-05 17:00:14,Plant-C,LINE-4,MCH-002,113.175,15.531,81.39,349.1,114.22,156.14,0.9351,19.09,89.971,0.7956,0.16,18.96,Night,Production
ENG-001555,2024-03-05 18:00:11,Plant-B,LINE-2,MCH-033,94.839,24.037,53.87,498.2,211.47,213.04,0.9225,32.22,56.172,0.8048,0.1,11.9,Night,Production
ENG-001556,2024-03-05 19:00:27,Plant-A,LINE-3,MCH-003,122.353,6.02,86.43,522.5,225.28,114.38,0.9478,48.65,63.28,0.7467,0.16,26.14,Night,Production
ENG-001557,2024-03-05 20:00:00,Plant-B,LINE-6,MCH-028,142.249,19.444,105.63,415.1,178.0,209.34,0.9837,21.67,55.779,0.7949,0.08,10.06,Night,Standby
ENG-001558,2024-03-05 21:00:02,Plant-B,LINE-4,MCH-031,131.88,31.183,62.04,497.2,183.24,94.42,0.871,37.13,49.439,0.8395,0.1,13.69,Afternoon,Production
ENG-001559,2024-03-05 22:00:02,Plant-C,LINE-1,MCH-034,134.499,22.336,77.91,559.5,268.15,187.04,0.9988,26.69,66.448,0.9701,0.13,14.85,Morning,Production
ENG-001560,2024-03-05 23:00:11,Plant-B,LINE-10,MCH-026,128.058,21.487,79.82,634.0,150.83,255.75,0.9976,17.5,54.467,0.6454,0.1,11.21,Night,Production
ENG-001561,2024-03-06 00:00:06,Plant-A,LINE-4,MCH-037,72.828,5.497,116.96,717.9,270.22,123.82,0.9997,43.23,51.819,0.9714,0.08,9.26,Afternoon,Production
ENG-001562,2024-03-06 01:00:27,Plant-B,LINE-4,MCH-043,100.437,24.779,61.95,571.5,255.98,119.87,0.9623,26.05,73.718,0.8016,0.16,7.25,Night,Production
ENG-001563,2024-03-06 02:00:04,Plant-A,LINE-1,MCH-015,94.315,12.904,123.48,405.3,185.35,253.18,0.8514,7.91,57.465,0.8036,0.08,11.71,Afternoon,Standby
ENG-001564,2024-03-06 03:00:20,Plant-C,LINE-7,MCH-048,159.13,20.326,46.87,368.8,201.95,149.34,0.943,30.6,55.687,1.1076,0.1,9.2,Afternoon,Production
ENG-001565,2024-03-06 04:00:30,Plant-C,LINE-10,MCH-038,156.93,13.298,88.76,643.0,264.9,166.51,0.9469,32.29,56.612,1.1971,0.16,21.32,Night,Idle
ENG-001566,2024-03-06 05:00:14,Plant-B,LINE-8,MCH-032,52.382,17.741,46.63,659.3,161.67,215.47,1.0,30.9,48.636,0.8221,0.13,14.03,Morning,Production
ENG-001567,2024-03-06 06:00:23,Plant-A,LINE-10,MCH-039,87.916,15.735,108.49,492.6,228.14,278.97,0.8813,23.44,43.732,0.7835,0.13,17.01,Afternoon,Production
ENG-001568,2024-03-06 07:00:00,Plant-B,LINE-2,MCH-004,82.403,8.411,65.23,538.3,354.03,116.87,0.9412,11.51,83.457,1.0094,0.13,22.64,Night,Production
ENG-001569,2024-03-06 08:00:24,Plant-A,LINE-6,MCH-047,125.477,13.487,98.42,555.1,183.36,237.52,0.8859,29.13,31.12,0.6325,0.08,13.9,Afternoon,Production
ENG-001570,2024-03-06 09:00:06,Plant-A,LINE-8,MCH-023,173.214,16.174,63.38,373.3,319.29,154.69,0.9416,35.56,67.246,0.9458,0.13,19.75,Night,Production
ENG-001571,2024-03-06 10:00:26,Plant-C,LINE-9,MCH-033,123.512,12.025,75.5,404.1,279.13,184.85,0.927,41.64,46.258,0.6168,0.1,14.28,Morning,Production
ENG-001572,2024-03-06 11:00:09,Plant-B,LINE-5,MCH-033,123.485,5.791,81.72,368.7,211.84,163.04,0.9309,23.31,40.501,0.9336,0.08,13.51,Morning,Production
ENG-001573,2024-03-06 12:00:24,Plant-A,LINE-4,MCH-047,134.857,13.442,84.86,200.0,231.8,192.3,0.9617,29.07,69.923,0.8776,0.1,10.45,Night,Idle
ENG-001574,2024-03-06 13:00:03,Plant-C,LINE-5,MCH-048,105.203,9.87,86.01,421.5,185.63,241.56,0.9503,22.94,62.614,0.8895,0.13,9.37,Afternoon,Standby
ENG-001575,2024-03-06 14:00:26,Plant-B,LINE-5,MCH-034,76.824,10.859,79.01,387.3,158.09,169.83,0.9823,24.83,51.813,0.9596,0.1,10.84,Morning,Production
ENG-001576,2024-03-06 15:00:28,Plant-B,LINE-2,MCH-033,104.836,16.465,59.17,470.1,225.81,201.97,0.8813,32.2,94.011,0.7988,0.13,26.17,Night,Production
ENG-001577,2024-03-06 16:00:27,Plant-A,LINE-8,MCH-049,99.388,8.746,77.21,685.2,205.94,216.4,0.9493,30.0,41.346,0.9656,0.08,19.55,Afternoon,Idle
ENG-001578,2024-03-06 17:00:09,Plant-A,LINE-1,MCH-005,97.338,11.501,48.8,339.9,225.22,187.82,0.9119,16.26,57.536,0.9015,0.13,11.58,Afternoon,Maintenance
ENG-001579,2024-03-06 18:00:29,Plant-C,LINE-10,MCH-017,192.211,14.223,63.01,387.5,214.29,167.36,0.9583,19.86,68.872,0.8012,0.1,15.07,Night,Production
ENG-001580,2024-03-06 19:00:30,Plant-B,LINE-1,MCH-049,169.739,26.749,50.01,376.4,306.66,159.31,0.9167,20.37,56.545,0.9962,0.1,13.18,Morning,Production
ENG-001581,2024-03-06 20:00:14,Plant-A,LINE-2,MCH-025,75.516,16.661,76.39,556.1,264.26,190.84,0.9007,51.14,45.812,0.7457,0.13,9.41,Night,Production
ENG-001582,2024-03-06 21:00:15,Plant-C,LINE-3,MCH-031,137.734,12.34,74.83,389.6,243.35,172.94,0.984,16.09,36.952,0.8751,0.1,19.44,Night,Production
ENG-001583,2024-03-06 22:00:29,Plant-B,LINE-4,MCH-029,115.837,24.304,105.7,675.0,109.37,165.56,0.8368,30.98,17.54,0.7289,0.16,10.21,Morning,Production
ENG-001584,2024-03-06 23:00:10,Plant-C,LINE-8,MCH-028,39.109,14.956,49.88,345.3,259.75,177.82,0.8848,29.67,29.153,0.7229,0.16,17.97,Night,Production
ENG-001585,2024-03-07 00:00:24,Plant-A,LINE-5,MCH-019,133.777,10.069,109.09,519.1,239.01,264.98,0.8708,16.41,82.249,0.8086,0.08,7.63,Night,Production
ENG-001586,2024-03-07 01:00:12,Plant-A,LINE-9,MCH-006,70.558,21.935,99.25,583.3,171.55,196.08,1.0,31.76,59.938,0.4201,0.16,12.16,Night,Production
ENG-001587,2024-03-07 02:00:27,Plant-B,LINE-1,MCH-006,184.094,14.402,77.61,609.0,121.84,132.59,0.9752,44.43,76.003,0.8362,0.13,9.14,Morning,Production
ENG-001588,2024-03-07 03:00:22,Plant-B,LINE-4,MCH-027,92.162,13.957,83.73,746.0,240.18,232.65,0.9261,38.86,53.339,0.726,0.13,10.66,Night,Production
ENG-001589,2024-03-07 04:00:17,Plant-A,LINE-5,MCH-048,107.061,16.669,78.42,358.4,230.61,118.91,0.9454,27.14,59.763,0.7067,0.16,8.1,Morning,Production
ENG-001590,2024-03-07 05:00:16,Plant-B,LINE-1,MCH-033,81.055,18.656,78.28,433.3,156.18,214.5,0.831,39.94,55.64,0.7266,0.08,10.23,Morning,Production
ENG-001591,2024-03-07 06:00:22,Plant-A,LINE-4,MCH-005,121.633,8.384,83.27,643.2,182.53,104.92,0.836,23.42,46.284,0.596,0.13,18.3,Night,Maintenance
ENG-001592,2024-03-07 07:00:21,Plant-A,LINE-10,MCH-015,111.122,18.451,74.46,343.0,177.36,208.47,0.8636,10.66,69.936,0.8459,0.13,5.88,Afternoon,Production
ENG-001593,2024-03-07 08:00:13,Plant-B,LINE-1,MCH-036,82.598,5.431,91.66,402.0,216.72,169.5,0.8954,30.55,68.237,0.9935,0.08,11.01,Afternoon,Production
ENG-001594,2024-03-07 09:00:06,Plant-C,LINE-4,MCH-045,90.406,9.019,63.38,329.0,214.22,230.79,0.9026,40.93,66.737,0.8357,0.1,19.94,Morning,Production
ENG-001595,2024-03-07 10:00:23,Plant-C,LINE-3,MCH-007,117.473,14.08,121.55,388.2,192.62,177.51,0.8716,16.47,56.603,0.9719,0.16,16.99,Afternoon,Production
ENG-001596,2024-03-07 11:00:15,Plant-B,LINE-1,MCH-021,136.372,9.91,84.64,532.6,183.48,211.26,0.9158,31.77,65.154,0.7281,0.13,11.33,Morning,Production
ENG-001597,2024-03-07 12:00:02,Plant-A,LINE-4,MCH-025,179.517,10.699,71.71,485.5,5.22,98.53,0.867,43.17,91.531,0.9187,0.13,21.17,Night,Maintenance
ENG-001598,2024-03-07 13:00:07,Plant-A,LINE-10,MCH-029,108.706,17.208,93.59,485.1,140.22,129.35,0.9373,46.33,82.96,0.6031,0.16,12.52,Night,Production
ENG-001599,2024-03-07 14:00:14,Plant-C,LINE-7,MCH-016,81.749,10.751,105.88,342.8,133.62,148.63,0.9691,35.36,85.378,0.4241,0.08,8.46,Night,Maintenance
ENG-001600,2024-03-07 15:00:18,Plant-C,LINE-3,MCH-033,131.399,22.756,70.34,483.1,180.04,219.13,0.9085,36.8,32.405,0.7393,0.08,19.6,Night,Standby
ENG-001601,2024-03-07 16:00:18,Plant-B,LINE-2,MCH-005,160.837,13.632,86.18,442.8,276.78,91.58,0.9814,14.98,76.64,0.6174,0.08,10.23,Afternoon,Idle
