record_id,date,shift,plant,department,worker_id,worker_experience_years,incident_type,hazard_type,severity,lost_days,ppe_worn,training_completed,noise_level_dB,heat_stress_index,air_quality_AQI,ergonomic_risk_score,near_miss_count,corrective_action,root_cause
SAF-000852,2024-07-25,Morning,Plant-A,Machining,W-0150,0.6,No Incident,None,None,0,Full,Yes,87.2,42.2,104,4.5,3,None,Environmental
SAF-000853,2024-12-19,Morning,Plant-C,Machining,W-0061,4.9,No Incident,Caught In,None,4,Full,Yes,63.4,33.3,88,9.5,4,None,N/A
SAF-000854,2024-04-30,Afternoon,Plant-B,Packaging,W-0009,1.4,No Incident,Thermal,None,0,Full,Yes,90.8,28.3,124,7.9,2,None,Procedural
SAF-000855,2024-04-27,Afternoon,Plant-A,Packaging,W-0181,7.3,No Incident,None,Low,4,Full,No,50.3,31.6,77,9.5,4,None,Procedural
SAF-000856,2024-01-06,Afternoon,Plant-A,Logistics,W-0078,9.4,No Incident,Caught In,None,0,Partial,No,50.0,24.1,153,9.8,4,None,Procedural
SAF-000857,2024-11-15,Morning,Plant-B,Machining,W-0180,8.3,No Incident,Noise,Medium,0,Full,Yes,90.9,29.8,136,7.8,4,Procedure Update,N/A
SAF-000858,2024-12-20,Morning,Plant-C,Quality,W-0024,6.2,No Incident,Electrical,None,0,Full,Yes,81.0,27.3,31,9.4,3,Equipment Fix,Procedural
SAF-000859,2024-10-24,Night,Plant-B,Assembly,W-0160,0.2,No Incident,Electrical,None,0,Partial,Yes,92.0,28.9,57,1.6,0,Equipment Fix,N/A
SAF-000860,2024-06-07,Night,Plant-C,Welding,W-0050,3.0,No Incident,Struck By,High,0,Full,Yes,72.1,46.6,187,2.7,2,Procedure Update,N/A
SAF-000861,2024-08-29,Morning,Plant-C,Packaging,W-0030,1.4,No Incident,None,None,0,Full,Yes,69.7,21.6,167,6.4,3,None,Human Error
SAF-000862,2024-11-24,Night,Plant-A,Machining,W-0175,13.4,First Aid,None,None,0,Full,Yes,72.2,23.2,130,4.2,1,Equipment Fix,Procedural
SAF-000863,2024-11-01,Afternoon,Plant-B,Machining,W-0148,2.2,No Incident,None,None,0,Full,No,86.3,25.4,119,4.5,4,None,N/A
SAF-000864,2024-02-21,Afternoon,Plant-A,Quality,W-0175,3.0,No Incident,None,None,0,Full,Yes,73.7,18.4,73,2.2,2,Equipment Fix,N/A
SAF-000865,2024-06-05,Afternoon,Plant-C,Machining,W-0181,9.1,No Incident,None,None,0,Full,Yes,50.0,25.8,134,4.8,2,PPE Upgrade,N/A
SAF-000866,2024-02-22,Afternoon,Plant-A,Maintenance,W-0179,1.1,Near Miss,None,None,0,Full,Yes,66.1,26.8,127,5.9,1,Training,Procedural
SAF-000867,2024-06-09,Night,Plant-A,Maintenance,W-0200,3.8,No Incident,Fall,None,0,Full,Yes,75.3,31.8,49,5.0,3,Training,Equipment Failure
SAF-000868,2024-12-01,Night,Plant-A,Maintenance,W-0080,4.1,No Incident,Electrical,None,0,Full,Yes,90.4,27.7,89,6.0,1,None,Procedural
SAF-000869,2024-10-22,Afternoon,Plant-B,Machining,W-0057,2.3,No Incident,None,Medium,0,Full,Yes,80.1,21.6,148,5.1,2,Training,Human Error
SAF-000870,2024-04-05,Afternoon,Plant-C,Logistics,W-0187,34.2,No Incident,Chemical,Low,0,None,Yes,76.0,37.9,22,4.4,1,Procedure Update,N/A
SAF-000871,2024-09-13,Morning,Plant-A,Quality,W-0081,3.6,No Incident,None,None,0,Full,Yes,85.5,37.8,126,9.3,1,Training,N/A
SAF-000872,2024-06-03,Afternoon,Plant-C,Maintenance,W-0039,4.3,No Incident,None,None,22,Full,Yes,54.1,26.4,136,4.0,2,Equipment Fix,Unknown
SAF-000873,2024-03-11,Night,Plant-B,Quality,W-0117,4.4,No Incident,Caught In,None,0,Full,Yes,100.7,11.4,76,2.0,4,PPE Upgrade,N/A
SAF-000874,2024-08-27,Night,Plant-A,Logistics,W-0082,1.2,No Incident,None,None,0,Full,Yes,69.2,21.6,105,5.6,4,Equipment Fix,N/A
SAF-000875,2024-07-13,Afternoon,Plant-C,Welding,W-0132,13.0,No Incident,Ergonomic,None,0,Full,Yes,88.3,10.0,108,6.8,3,Training,N/A
SAF-000876,2024-09-08,Afternoon,Plant-B,Packaging,W-0106,0.6,No Incident,None,None,0,Full,Yes,81.9,40.4,60,9.4,3,None,N/A
SAF-000877,2024-08-21,Morning,Plant-C,Quality,W-0044,3.0,No Incident,None,None,0,Full,Yes,72.0,28.4,88,7.6,0,None,Unknown
SAF-000878,2024-05-22,Night,Plant-B,Maintenance,W-0126,13.9,No Incident,None,None,0,Full,Yes,52.8,31.0,194,3.8,0,PPE Upgrade,Human Error
SAF-000879,2024-02-22,Morning,Plant-A,Machining,W-0200,7.8,No Incident,None,Medium,0,Full,Yes,67.8,35.8,195,3.1,0,Training,N/A
SAF-000880,2024-08-09,Afternoon,Plant-A,Machining,W-0123,11.8,Property Damage,Noise,None,0,Full,Yes,53.6,29.7,149,6.6,3,None,Procedural
SAF-000881,2024-06-21,Morning,Plant-B,Quality,W-0132,0.9,Medical Treatment,None,None,0,Full,Yes,90.7,27.5,156,7.9,2,Training,N/A
SAF-000882,2024-05-03,Afternoon,Plant-C,Welding,W-0045,7.9,No Incident,Electrical,None,17,Full,Yes,78.0,28.3,43,3.1,3,Training,N/A
SAF-000883,2024-08-15,Night,Plant-C,Painting,W-0089,4.4,No Incident,None,None,1,Full,Yes,86.9,29.7,124,2.5,4,None,N/A
SAF-000884,2024-05-23,Morning,Plant-A,Welding,W-0149,14.5,No Incident,Noise,None,0,Partial,Yes,63.4,31.7,199,7.4,2,Equipment Fix,N/A
SAF-000885,2024-07-27,Afternoon,Plant-C,Quality,W-0087,8.7,No Incident,Ergonomic,None,18,Full,Yes,77.5,32.8,70,3.4,4,None,N/A
SAF-000886,2024-07-11,Night,Plant-A,Assembly,W-0097,1.2,First Aid,Caught In,None,0,Full,No,84.4,21.4,58,5.1,4,None,Unknown
SAF-000887,2024-08-13,Night,Plant-B,Logistics,W-0186,10.3,No Incident,Chemical,None,0,Full,No,76.3,27.2,118,7.2,4,None,N/A
SAF-000888,2024-10-11,Afternoon,Plant-A,Maintenance,W-0096,1.8,Property Damage,None,None,7,Full,Yes,94.4,37.8,95,1.1,2,Training,N/A
SAF-000889,2024-06-24,Morning,Plant-B,Logistics,W-0067,1.4,No Incident,None,None,18,Partial,Yes,57.4,28.3,152,8.2,3,Procedure Update,N/A
SAF-000890,2024-08-02,Afternoon,Plant-C,Assembly,W-0166,0.9,Lost Time,None,Low,0,Full,Yes,105.5,21.3,118,1.9,3,None,N/A
SAF-000891,2024-04-15,Morning,Plant-C,Quality,W-0050,0.7,No Incident,None,Low,0,Partial,Yes,64.9,25.2,115,6.6,0,Procedure Update,N/A
SAF-000892,2024-12-16,Afternoon,Plant-B,Quality,W-0057,6.6,No Incident,Fall,None,0,Full,Yes,78.0,27.6,130,1.1,1,None,N/A
SAF-000893,2024-08-14,Morning,Plant-A,Packaging,W-0136,3.7,No Incident,Struck By,None,0,Full,Yes,50.0,25.8,102,5.6,3,Equipment Fix,N/A
SAF-000894,2024-02-21,Afternoon,Plant-B,Machining,W-0191,6.2,No Incident,Fall,None,4,Full,Yes,82.6,27.3,26,1.6,1,Training,N/A
SAF-000895,2024-07-12,Night,Plant-B,Machining,W-0156,2.1,No Incident,Electrical,None,7,Full,Yes,61.3,23.9,154,4.4,2,None,N/A
SAF-000896,2024-05-31,Morning,Plant-A,Logistics,W-0034,7.8,Lost Time,Fall,None,0,Full,Yes,74.0,25.1,183,1.0,2,Training,N/A
SAF-000897,2024-05-01,Morning,Plant-B,Painting,W-0046,0.1,No Incident,None,Medium,0,Full,No,68.6,26.7,127,5.6,1,Procedure Update,N/A
SAF-000898,2024-07-22,Afternoon,Plant-C,Packaging,W-0134,0.8,No Incident,Thermal,None,0,Full,Yes,65.6,30.7,171,4.4,1,PPE Upgrade,N/A
SAF-000899,2024-02-04,Night,Plant-C,Welding,W-0164,1.1,First Aid,None,High,0,Full,Yes,98.0,21.2,191,8.4,2,Training,Equipment Failure
SAF-000900,2024-11-30,Night,Plant-B,Welding,W-0094,6.2,No Incident,None,None,0,Partial,Yes,63.2,21.1,34,7.7,4,None,N/A
SAF-000901,2024-12-27,Afternoon,Plant-C,Welding,W-0172,0.1,No Incident,Fall,None,9,Full,Yes,80.8,18.9,133,4.7,2,Equipment Fix,Unknown
SAF-000902,2024-02-28,Morning,Plant-A,Painting,W-0055,0.5,No Incident,Struck By,None,0,Full,Yes,63.3,23.7,172,4.5,0,PPE Upgrade,Unknown
SAF-000903,2024-02-18,Night,Plant-C,Packaging,W-0132,2.5,No Incident,Electrical,None,0,Full,Yes,75.3,30.6,68,6.1,3,Procedure Update,N/A
SAF-000904,2024-07-26,Morning,Plant-C,Quality,W-0172,10.2,Lost Time,None,None,0,Full,Yes,71.2,36.2,189,3.8,0,None,N/A
SAF-000905,2024-09-22,Morning,Plant-C,Quality,W-0052,5.4,No Incident,Electrical,None,0,Full,Yes,63.1,39.8,122,9.4,3,PPE Upgrade,Environmental
SAF-000906,2024-07-07,Morning,Plant-A,Maintenance,W-0168,2.9,No Incident,None,None,10,Full,Yes,95.0,31.9,67,5.5,0,Equipment Fix,N/A
SAF-000907,2024-10-27,Afternoon,Plant-B,Logistics,W-0132,1.5,No Incident,Ergonomic,None,10,Full,Yes,92.7,29.5,46,8.3,3,None,N/A
SAF-000908,2024-07-09,Night,Plant-A,Quality,W-0076,1.0,No Incident,None,None,9,Partial,Yes,89.4,33.0,57,7.2,0,None,Environmental
SAF-000909,2024-03-11,Morning,Plant-B,Painting,W-0104,2.4,No Incident,Caught In,None,0,Full,Yes,71.9,20.5,121,3.1,0,None,N/A
SAF-000910,2024-06-08,Night,Plant-B,Painting,W-0199,2.0,No Incident,Fall,Low,1,Full,Yes,88.3,25.4,162,8.9,2,Procedure Update,N/A
SAF-000911,2024-02-06,Night,Plant-B,Logistics,W-0182,0.6,No Incident,Caught In,None,0,Full,Yes,96.8,22.4,87,2.1,4,Procedure Update,N/A
SAF-000912,2024-09-10,Night,Plant-A,Machining,W-0008,4.6,Medical Treatment,None,None,23,Full,Yes,73.1,18.8,172,7.8,0,None,Human Error
SAF-000913,2024-03-01,Afternoon,Plant-A,Quality,W-0097,3.1,No Incident,None,None,0,Full,Yes,88.5,18.6,112,8.5,1,Equipment Fix,N/A
SAF-000914,2024-08-08,Night,Plant-C,Welding,W-0168,0.7,Medical Treatment,None,None,0,Full,Yes,83.6,19.3,126,9.2,2,None,Procedural
SAF-000915,2024-09-24,Afternoon,Plant-A,Packaging,W-0152,1.0,Property Damage,None,None,18,Full,Yes,85.1,13.7,83,4.7,3,PPE Upgrade,N/A
SAF-000916,2024-09-09,Night,Plant-A,Welding,W-0100,3.8,No Incident,None,None,19,Full,Yes,75.0,24.5,107,1.8,4,PPE Upgrade,N/A
SAF-000917,2024-06-03,Night,Plant-B,Quality,W-0024,2.0,No Incident,Caught In,None,0,Full,Yes,64.6,27.6,170,3.4,0,None,N/A
SAF-000918,2024-09-08,Morning,Plant-C,Packaging,W-0036,2.0,No Incident,Chemical,None,0,None,Yes,77.9,12.3,171,3.2,0,Procedure Update,Unknown
SAF-000919,2024-10-07,Night,Plant-A,Assembly,W-0017,3.1,No Incident,None,None,0,Full,Yes,75.4,34.4,176,8.7,4,Equipment Fix,Human Error
SAF-000920,2024-03-24,Morning,Plant-A,Welding,W-0106,3.6,No Incident,Fall,None,0,Full,Yes,86.1,11.5,84,9.7,4,Procedure Update,Procedural
SAF-000921,2024-06-10,Afternoon,Plant-A,Welding,W-0100,1.9,No Incident,None,None,0,Full,Yes,54.2,32.0,160,9.0,3,None,Equipment Failure
SAF-000922,2024-07-27,Morning,Plant-C,Welding,W-0187,4.6,No Incident,None,None,6,None,Yes,94.0,34.0,74,2.3,2,Procedure Update,N/A
SAF-000923,2024-11-22,Night,Plant-C,Machining,W-0071,11.2,No Incident,Chemical,None,0,Full,Yes,55.1,30.8,124,4.4,3,Equipment Fix,N/A
SAF-000924,2024-05-06,Night,Plant-C,Quality,W-0129,8.4,Property Damage,Fall,None,9,Full,No,100.5,28.8,164,7.2,0,PPE Upgrade,N/A
SAF-000925,2024-05-19,Night,Plant-C,Quality,W-0186,15.1,No Incident,None,None,14,Full,Yes,84.0,22.3,143,6.8,1,None,N/A
SAF-000926,2024-04-14,Afternoon,Plant-A,Welding,W-0174,0.1,No Incident,Struck By,None,0,Full,Yes,82.1,17.5,21,3.2,0,None,N/A
SAF-000927,2024-03-29,Morning,Plant-A,Painting,W-0138,3.5,No Incident,Chemical,None,0,Full,Yes,66.6,31.2,53,6.8,4,Training,N/A
SAF-000928,2024-06-15,Morning,Plant-A,Painting,W-0079,3.2,No Incident,None,Low,6,Full,Yes,76.4,30.8,148,9.9,1,None,N/A
SAF-000929,2024-02-14,Morning,Plant-A,Assembly,W-0183,0.8,No Incident,None,Low,29,Full,Yes,78.1,37.4,42,6.4,2,Equipment Fix,N/A
SAF-000930,2024-01-06,Morning,Plant-C,Machining,W-0143,5.8,Environmental,None,None,0,Full,Yes,65.2,32.8,129,3.8,0,Procedure Update,Unknown
SAF-000931,2024-03-03,Night,Plant-B,Logistics,W-0101,2.9,No Incident,None,None,0,Partial,Yes,67.0,29.3,158,7.3,4,PPE Upgrade,Human Error
SAF-000932,2024-02-11,Morning,Plant-C,Maintenance,W-0048,1.5,No Incident,Chemical,None,26,Full,Yes,85.9,37.8,188,6.0,4,Procedure Update,N/A
SAF-000933,2024-01-14,Night,Plant-B,Maintenance,W-0018,4.4,No Incident,Thermal,None,0,Partial,Yes,85.5,33.5,140,6.3,1,None,N/A
SAF-000934,2024-03-25,Morning,Plant-A,Machining,W-0198,1.5,No Incident,None,None,26,Partial,No,81.2,32.7,178,5.8,3,Training,N/A
SAF-000935,2024-12-02,Night,Plant-B,Assembly,W-0080,1.2,No Incident,Thermal,None,0,Partial,Yes,63.2,34.6,67,9.4,2,Training,N/A
SAF-000936,2024-10-12,Night,Plant-B,Welding,W-0169,9.8,No Incident,Thermal,None,25,Full,Yes,80.8,27.9,68,6.7,1,Procedure Update,Environmental
SAF-000937,2024-09-24,Morning,Plant-C,Assembly,W-0059,1.3,No Incident,Ergonomic,None,10,Full,Yes,79.3,30.7,66,3.0,2,None,N/A
SAF-000938,2024-04-13,Night,Plant-C,Painting,W-0134,1.5,No Incident,Thermal,None,0,Full,Yes,89.0,29.0,24,9.4,4,None,N/A
SAF-000939,2024-12-21,Morning,Plant-C,Welding,W-0055,0.2,Property Damage,None,None,0,Full,Yes,88.5,31.8,39,4.4,3,Equipment Fix,Equipment Failure
SAF-000940,2024-03-01,Night,Plant-A,Welding,W-0079,0.5,No Incident,None,None,12,Partial,Yes,92.0,42.8,158,5.9,2,Equipment Fix,Human Error
SAF-000941,2024-05-17,Night,Plant-B,Machining,W-0129,5.5,No Incident,Ergonomic,None,17,Full,Yes,82.4,33.5,28,6.7,3,PPE Upgrade,Equipment Failure
SAF-000942,2024-10-19,Morning,Plant-A,Machining,W-0088,1.1,No Incident,None,None,0,Full,Yes,78.6,25.2,78,1.1,1,None,N/A
SAF-000943,2024-12-07,Night,Plant-A,Machining,W-0015,0.0,No Incident,None,None,0,Full,Yes,87.9,22.7,176,6.5,4,None,Equipment Failure
SAF-000944,2024-02-04,Night,Plant-C,Welding,W-0089,8.5,No Incident,Electrical,None,0,Partial,Yes,79.4,42.4,190,7.2,0,Training,N/A
SAF-000945,2024-05-18,Afternoon,Plant-A,Painting,W-0058,5.7,No Incident,None,None,4,Full,Yes,69.0,41.4,127,1.4,2,Training,N/A
SAF-000946,2024-02-09,Afternoon,Plant-A,Quality,W-0186,0.6,No Incident,None,Medium,21,Partial,Yes,65.8,45.4,148,5.6,0,Training,N/A
SAF-000947,2024-01-28,Night,Plant-A,Painting,W-0084,0.0,No Incident,None,None,0,Partial,Yes,72.7,30.2,69,9.7,3,Procedure Update,N/A
SAF-000948,2024-02-13,Afternoon,Plant-C,Welding,W-0192,0.1,No Incident,None,None,0,Full,Yes,73.4,28.1,131,8.9,1,Training,N/A
SAF-000949,2024-02-15,Morning,Plant-A,Painting,W-0190,4.6,First Aid,Noise,None,0,Full,Yes,65.5,26.4,56,9.6,1,Equipment Fix,N/A
SAF-000950,2024-03-07,Night,Plant-B,Welding,W-0068,1.3,No Incident,Noise,Medium,0,Full,Yes,68.4,15.3,79,3.2,2,None,Human Error
SAF-000951,2024-01-24,Afternoon,Plant-A,Welding,W-0157,2.1,No Incident,None,None,0,None,Yes,50.0,22.1,108,9.6,4,None,N/A
SAF-000952,2024-02-11,Afternoon,Plant-A,Quality,W-0012,4.2,No Incident,Electrical,None,0,Full,Yes,72.6,36.4,47,5.2,0,None,N/A
SAF-000953,2024-11-27,Morning,Plant-B,Machining,W-0133,5.7,No Incident,Ergonomic,None,0,Full,Yes,58.4,20.6,63,2.6,3,None,Environmental
SAF-000954,2024-08-20,Night,Plant-B,Painting,W-0115,5.8,No Incident,None,None,0,Full,Yes,62.5,42.7,69,1.7,4,Training,N/A
SAF-000955,2024-06-05,Night,Plant-C,Painting,W-0097,0.6,No Incident,None,None,0,Full,Yes,86.6,38.8,109,5.2,0,None,N/A
SAF-000956,2024-08-27,Night,Plant-B,Quality,W-0166,3.5,Property Damage,Ergonomic,Medium,0,Full,Yes,80.7,18.8,62,7.0,3,Training,Equipment Failure
SAF-000957,2024-05-12,Night,Plant-A,Packaging,W-0072,1.3,No Incident,None,High,0,Full,Yes,80.1,37.9,50,9.4,4,Training,Human Error
SAF-000958,2024-12-24,Morning,Plant-C,Painting,W-0107,1.2,No Incident,Ergonomic,Low,0,Partial,Yes,87.7,35.4,154,9.6,3,None,N/A
SAF-000959,2024-10-13,Morning,Plant-C,Painting,W-0049,1.9,No Incident,None,None,0,Full,Yes,66.0,29.5,98,2.6,1,Procedure Update,N/A
SAF-000960,2024-02-17,Afternoon,Plant-A,Painting,W-0168,9.1,No Incident,Struck By,None,28,Full,Yes,59.1,33.2,153,4.3,0,None,Unknown
SAF-000961,2024-06-09,Morning,Plant-C,Quality,W-0143,10.9,No Incident,Noise,None,0,Full,Yes,57.2,28.4,181,1.9,0,PPE Upgrade,N/A
SAF-000962,2024-12-17,Night,Plant-B,Assembly,W-0015,0.4,No Incident,None,Low,1,Partial,Yes,75.7,32.4,44,5.7,2,Equipment Fix,N/A
SAF-000963,2024-08-31,Night,Plant-A,Packaging,W-0150,6.3,No Incident,None,None,10,Full,Yes,72.5,21.8,164,7.2,1,Equipment Fix,Human Error
SAF-000964,2024-10-18,Afternoon,Plant-A,Painting,W-0147,4.2,No Incident,None,None,0,Full,Yes,52.2,31.2,152,2.6,1,Training,N/A
SAF-000965,2024-08-11,Night,Plant-B,Packaging,W-0026,0.9,No Incident,Thermal,None,0,Partial,Yes,63.8,35.1,199,9.0,0,Equipment Fix,N/A
SAF-000966,2024-02-19,Morning,Plant-A,Assembly,W-0060,0.1,No Incident,Fall,None,0,Full,No,92.7,21.3,104,5.1,0,None,N/A
SAF-000967,2024-10-28,Morning,Plant-C,Welding,W-0057,17.2,No Incident,None,None,0,Partial,Yes,80.2,27.9,138,5.4,0,None,N/A
SAF-000968,2024-05-20,Morning,Plant-C,Quality,W-0150,2.1,No Incident,None,None,0,Full,Yes,96.3,28.8,89,1.9,2,None,N/A
SAF-000969,2024-03-07,Afternoon,Plant-B,Assembly,W-0187,1.8,Near Miss,None,None,0,Full,Yes,66.8,13.5,133,2.4,0,Procedure Update,N/A
SAF-000970,2024-04-06,Morning,Plant-C,Painting,W-0188,0.9,No Incident,Noise,None,0,Full,Yes,91.9,26.8,175,1.0,3,Training,Equipment Failure
SAF-000971,2024-09-13,Afternoon,Plant-A,Logistics,W-0022,0.5,No Incident,None,None,0,Full,Yes,74.6,31.2,197,7.1,2,Training,N/A
SAF-000972,2024-01-29,Morning,Plant-C,Quality,W-0019,4.6,No Incident,None,None,0,Partial,Yes,79.9,46.4,125,9.2,2,None,N/A
SAF-000973,2024-04-05,Afternoon,Plant-B,Painting,W-0059,0.0,No Incident,None,None,0,Partial,Yes,69.4,16.4,50,10.0,4,None,N/A
SAF-000974,2024-02-04,Afternoon,Plant-A,Maintenance,W-0153,6.7,No Incident,Ergonomic,Medium,0,Full,Yes,65.5,14.5,20,7.2,1,None,N/A
SAF-000975,2024-03-29,Afternoon,Plant-B,Maintenance,W-0106,0.1,No Incident,Chemical,None,19,Full,No,91.2,32.4,41,5.0,3,None,N/A
SAF-000976,2024-05-11,Night,Plant-C,Machining,W-0081,5.0,No Incident,None,None,0,Full,Yes,75.3,27.5,72,6.7,4,Equipment Fix,N/A
SAF-000977,2024-06-13,Afternoon,Plant-A,Quality,W-0106,0.4,No Incident,None,None,14,Full,Yes,57.5,29.9,156,3.3,4,None,N/A
SAF-000978,2024-12-21,Night,Plant-B,Welding,W-0196,1.1,No Incident,None,None,0,Full,Yes,76.4,36.2,25,4.9,4,None,N/A
SAF-000979,2024-10-02,Night,Plant-B,Machining,W-0014,0.3,No Incident,Fall,None,0,Full,Yes,78.8,23.5,25,9.8,3,Procedure Update,N/A
SAF-000980,2024-03-19,Afternoon,Plant-C,Quality,W-0105,0.3,No Incident,None,None,0,Full,No,65.4,20.4,60,7.6,1,Equipment Fix,N/A
SAF-000981,2024-05-14,Morning,Plant-B,Maintenance,W-0009,4.5,No Incident,Thermal,None,0,Full,Yes,69.7,29.1,58,3.4,4,Procedure Update,N/A
SAF-000982,2024-09-01,Afternoon,Plant-B,Machining,W-0072,2.6,No Incident,None,None,29,Full,No,93.2,30.1,122,4.4,2,Equipment Fix,N/A
SAF-000983,2024-01-05,Afternoon,Plant-A,Logistics,W-0149,2.5,No Incident,None,Low,0,Full,Yes,80.8,28.9,187,9.4,2,PPE Upgrade,N/A
SAF-000984,2024-09-17,Night,Plant-C,Welding,W-0045,0.4,No Incident,Struck By,None,0,Full,Yes,88.5,24.2,33,4.6,2,None,Human Error
SAF-000985,2024-01-13,Morning,Plant-C,Welding,W-0152,5.7,No Incident,Fall,None,0,Full,Yes,77.4,40.2,57,7.7,1,Training,N/A
SAF-000986,2024-09-12,Night,Plant-B,Maintenance,W-0190,0.2,No Incident,Fall,None,23,Full,Yes,67.0,32.1,73,6.2,4,None,N/A
SAF-000987,2024-01-23,Afternoon,Plant-A,Welding,W-0190,5.6,No Incident,None,None,0,Full,Yes,79.6,35.3,133,9.0,4,PPE Upgrade,N/A
SAF-000988,2024-10-26,Afternoon,Plant-C,Logistics,W-0137,7.8,No Incident,Chemical,None,0,Partial,Yes,64.8,26.0,188,8.2,0,None,N/A
SAF-000989,2024-04-02,Afternoon,Plant-C,Packaging,W-0129,0.4,No Incident,None,None,0,Full,Yes,67.8,27.6,27,4.9,4,Training,Environmental
SAF-000990,2024-08-24,Morning,Plant-C,Packaging,W-0011,1.5,No Incident,None,None,0,Full,Yes,70.2,31.7,180,7.0,1,PPE Upgrade,N/A
SAF-000991,2024-09-21,Afternoon,Plant-B,Packaging,W-0141,1.0,No Incident,None,None,18,Full,No,71.5,36.5,75,3.8,2,Equipment Fix,N/A
SAF-000992,2024-11-25,Night,Plant-A,Packaging,W-0032,0.8,Lost Time,Ergonomic,None,0,Full,No,82.3,34.7,196,5.1,2,PPE Upgrade,Equipment Failure
SAF-000993,2024-07-04,Afternoon,Plant-B,Painting,W-0005,5.0,No Incident,Caught In,None,0,Full,Yes,83.4,23.2,183,9.6,3,Equipment Fix,Human Error
SAF-000994,2024-08-17,Morning,Plant-B,Machining,W-0147,1.0,No Incident,None,None,9,Full,Yes,80.3,27.1,48,8.5,4,None,N/A
SAF-000995,2024-05-17,Night,Plant-B,Machining,W-0115,9.0,No Incident,None,Low,20,Full,Yes,82.9,30.8,167,9.2,3,None,N/A
SAF-000996,2024-04-08,Night,Plant-A,Logistics,W-0189,11.1,No Incident,None,None,0,Full,Yes,95.0,28.8,98,4.3,2,None,Human Error
SAF-000997,2024-07-28,Morning,Plant-B,Maintenance,W-0074,3.3,No Incident,Struck By,None,0,Full,Yes,78.4,23.7,174,6.7,4,Training,N/A
SAF-000998,2024-12-21,Morning,Plant-A,Logistics,W-0176,1.6,No Incident,Thermal,None,0,Partial,Yes,76.8,24.6,111,1.4,2,Equipment Fix,N/A
SAF-000999,2024-05-27,Afternoon,Plant-C,Assembly,W-0123,2.1,No Incident,Struck By,None,0,Full,Yes,50.0,36.7,171,3.8,4,Equipment Fix,N/A
SAF-001000,2024-03-24,Afternoon,Plant-C,Assembly,W-0011,3.2,Near Miss,None,Low,0,Full,Yes,67.1,41.5,138,8.6,0,Procedure Update,Equipment Failure
SAF-001001,2024-06-17,Night,Plant-A,Logistics,W-0054,19.0,No Incident,Noise,None,24,Full,Yes,82.3,53.4,44,4.8,0,None,N/A
SAF-001002,2024-05-20,Morning,Plant-B,Packaging,W-0089,13.0,No Incident,None,None,10,Full,Yes,106.9,34.2,62,8.4,2,None,Environmental
SAF-001003,2024-04-01,Night,Plant-C,Quality,W-0011,5.4,No Incident,Fall,None,0,Full,Yes,74.7,33.2,79,3.2,4,Equipment Fix,N/A
SAF-001004,2024-12-12,Afternoon,Plant-A,Quality,W-0043,3.2,No Incident,Caught In,None,0,Full,Yes,88.5,30.0,122,9.4,2,None,N/A
SAF-001005,2024-06-07,Night,Plant-C,Assembly,W-0180,0.7,No Incident,None,None,0,None,Yes,88.5,27.8,185,6.5,4,None,Human Error
SAF-001006,2024-12-13,Night,Plant-C,Machining,W-0046,5.2,No Incident,None,None,23,Partial,Yes,61.1,39.2,155,7.6,3,Training,N/A
SAF-001007,2024-08-24,Morning,Plant-C,Quality,W-0017,0.2,No Incident,Caught In,Medium,30,Full,Yes,61.4,26.5,133,8.9,2,None,N/A
SAF-001008,2024-02-01,Morning,Plant-C,Welding,W-0067,0.2,No Incident,Struck By,None,0,Full,Yes,80.4,28.8,98,9.0,4,Procedure Update,Procedural
SAF-001009,2024-03-29,Afternoon,Plant-A,Assembly,W-0119,11.8,No Incident,None,None,0,Full,No,84.8,20.0,46,3.9,1,Training,N/A
SAF-001010,2024-07-16,Afternoon,Plant-B,Packaging,W-0011,4.8,No Incident,None,None,0,Full,No,60.4,23.9,146,6.5,1,Procedure Update,N/A
SAF-001011,2024-11-15,Morning,Plant-B,Logistics,W-0159,13.8,First Aid,None,None,0,Full,Yes,84.6,19.6,36,9.6,2,Equipment Fix,N/A
SAF-001012,2024-02-25,Afternoon,Plant-C,Welding,W-0032,2.1,Near Miss,None,None,12,Full,Yes,58.5,30.2,160,7.1,0,Procedure Update,Procedural
SAF-001013,2024-11-18,Morning,Plant-C,Logistics,W-0090,3.4,No Incident,Fall,None,20,Full,Yes,65.2,33.7,22,9.8,1,None,N/A
SAF-001014,2024-06-12,Morning,Plant-B,Painting,W-0178,2.1,Property Damage,None,None,0,Full,Yes,70.6,27.5,128,2.3,0,None,Procedural
SAF-001015,2024-12-04,Morning,Plant-C,Logistics,W-0188,1.1,No Incident,None,None,1,Full,Yes,61.6,34.2,26,6.4,1,Equipment Fix,N/A
SAF-001016,2024-05-29,Night,Plant-A,Maintenance,W-0026,3.8,No Incident,Electrical,None,13,Full,Yes,59.2,30.4,153,8.5,0,PPE Upgrade,N/A
SAF-001017,2024-07-23,Afternoon,Plant-C,Welding,W-0175,1.7,No Incident,None,None,0,Full,No,92.7,36.4,21,6.2,4,Procedure Update,N/A
SAF-001018,2024-07-26,Morning,Plant-B,Packaging,W-0024,1.2,No Incident,Thermal,Critical,0,Full,Yes,62.3,14.9,127,1.8,3,Procedure Update,N/A
