inspection_id,timestamp,batch_id,product_id,production_line,inspector_id,inspection_method,sample_size,defects_found,defect_type,dimension_mm,tolerance_upper_mm,tolerance_lower_mm,hardness_HRC,surface_roughness_Ra,weight_g,pass_fail,disposition,cpk,notes
QI-001420,2024-01-02 23:18:18,BATCH-0003138,PROD-015,LINE-7,QI-015,Manual Gauge,96,2,Porosity,50.0513,50.5,49.5,55.0,0.955,246.16,Pass,Accept,0.936,Critical failure
QI-001421,2024-01-02 23:20:27,BATCH-0002189,PROD-022,LINE-10,QI-006,Visual,87,8,Surface Finish,49.7078,50.5,49.5,59.6,2.986,247.85,Pass,Accept,1.61,Within spec
QI-001422,2024-01-02 23:22:15,BATCH-0003193,PROD-014,LINE-7,QI-013,X-Ray,80,1,Crack,49.8163,50.5,49.5,53.2,0.359,254.25,Pass,Accept,1.504,Minor deviation
QI-001423,2024-01-02 23:24:12,BATCH-0005691,PROD-002,LINE-10,QI-018,Laser Scan,88,0,Burr,50.1546,50.5,49.5,56.7,0.506,246.99,Pass,Accept,1.598,Within spec
QI-001424,2024-01-02 23:26:20,BATCH-0009096,PROD-003,LINE-2,QI-019,CMM,34,0,Dimensional,49.7661,50.5,49.5,55.4,0.432,251.93,Pass,Accept,1.861,Needs rework
QI-001425,2024-01-02 23:28:14,BATCH-0006070,PROD-007,LINE-10,QI-008,Manual Gauge,46,4,Crack,49.8353,50.5,49.5,56.7,1.528,252.99,Pass,Accept,1.533,OK
QI-001426,2024-01-02 23:30:07,BATCH-0009719,PROD-004,LINE-2,QI-015,CMM,11,0,NONE,49.7254,50.5,49.5,61.8,2.503,248.77,Pass,Accept,1.809,Minor deviation
QI-001427,2024-01-02 23:32:16,BATCH-0003769,PROD-003,LINE-2,QI-016,Laser Scan,86,3,NONE,50.0184,50.5,49.5,56.2,3.772,247.41,Pass,Accept,1.7,OK
QI-001428,2024-01-02 23:34:16,BATCH-0005699,PROD-008,LINE-3,QI-003,X-Ray,94,10,NONE,50.0603,50.5,49.5,54.6,1.059,250.62,Pass,Accept,1.525,Within spec
QI-001429,2024-01-02 23:36:15,BATCH-0008376,PROD-013,LINE-6,QI-016,Manual Gauge,98,1,Dimensional,50.4335,50.5,49.5,60.2,0.506,247.58,Pass,Accept,1.701,OK
QI-001430,2024-01-02 23:38:04,BATCH-0000917,PROD-013,LINE-3,QI-009,CMM,46,0,Missing Feature,49.7082,50.5,49.5,57.1,0.2,238.67,Pass,Accept,1.119,Minor deviation
QI-001431,2024-01-02 23:40:09,BATCH-0003380,PROD-011,LINE-8,QI-018,Manual Gauge,41,13,Surface Finish,50.6416,50.5,49.5,55.9,0.2,253.3,Pass,Accept,1.268,Needs rework
QI-001432,2024-01-02 23:42:12,BATCH-0005461,PROD-023,LINE-8,QI-014,Laser Scan,45,2,NONE,50.0111,50.5,49.5,52.7,0.2,246.65,Pass,Accept,1.501,OK
QI-001433,2024-01-02 23:44:03,BATCH-0002809,PROD-019,LINE-3,QI-003,Manual Gauge,94,2,Burr,50.6451,50.5,49.5,60.3,0.2,245.65,Pass,Accept,2.008,Within spec
QI-001434,2024-01-02 23:46:12,BATCH-0008323,PROD-010,LINE-4,QI-011,X-Ray,23,3,NONE,49.4258,50.5,49.5,62.5,1.074,250.17,Pass,Accept,1.269,Needs rework
QI-001435,2024-01-02 23:48:06,BATCH-0008485,PROD-015,LINE-2,QI-008,Laser Scan,74,9,Contamination,50.031,50.5,49.5,63.1,0.534,249.93,Pass,Accept,1.86,Minor deviation
QI-001436,2024-01-02 23:50:00,BATCH-0000496,PROD-013,LINE-7,QI-020,Manual Gauge,52,8,Contamination,49.4904,50.5,49.5,58.7,0.772,238.41,Pass,Accept,1.342,Within spec
QI-001437,2024-01-02 23:52:06,BATCH-0005507,PROD-025,LINE-6,QI-003,Laser Scan,89,13,NONE,50.1948,50.5,49.5,58.2,0.948,244.01,Fail,Accept,1.31,Needs rework
QI-001438,2024-01-02 23:54:25,BATCH-0000460,PROD-015,LINE-4,QI-004,Ultrasonic,93,12,NONE,49.2206,50.5,49.5,54.7,0.727,250.75,Pass,Accept,1.69,Within spec
QI-001439,2024-01-02 23:56:25,BATCH-0008124,PROD-016,LINE-10,QI-017,Visual,90,8,Porosity,49.9424,50.5,49.5,62.8,0.2,260.54,Pass,Accept,1.653,Within spec
QI-001440,2024-01-02 23:58:24,BATCH-0005180,PROD-024,LINE-10,QI-020,CMM,99,14,NONE,50.4971,50.5,49.5,57.6,0.443,252.92,Pass,Accept,1.996,Needs rework
QI-001441,2024-01-03 00:00:09,BATCH-0000747,PROD-002,LINE-9,QI-017,CMM,82,1,Surface Finish,49.0245,50.5,49.5,56.8,0.765,243.74,Pass,Accept,1.781,Needs rework
QI-001442,2024-01-03 00:02:07,BATCH-0008145,PROD-014,LINE-3,QI-008,Ultrasonic,27,14,NONE,50.5101,50.5,49.5,56.3,0.2,251.66,Pass,Accept,1.72,Critical failure
QI-001443,2024-01-03 00:04:16,BATCH-0008331,PROD-006,LINE-4,QI-009,Ultrasonic,26,0,Scratch,49.443,50.5,49.5,64.9,0.2,248.46,Pass,Accept,1.59,Within spec
QI-001444,2024-01-03 00:06:07,BATCH-0001443,PROD-009,LINE-8,QI-007,Laser Scan,7,13,Scratch,49.5386,50.5,49.5,54.3,3.412,254.27,Pass,Rework,1.885,OK
QI-001445,2024-01-03 00:08:24,BATCH-0009600,PROD-008,LINE-10,QI-020,X-Ray,9,1,Porosity,50.2252,50.5,49.5,61.8,0.511,245.76,Pass,Accept,1.415,Critical failure
QI-001446,2024-01-03 00:10:21,BATCH-0007391,PROD-018,LINE-2,QI-010,X-Ray,54,2,Surface Finish,50.8758,50.5,49.5,65.5,5.681,251.93,Pass,Accept,1.788,Within spec
QI-001447,2024-01-03 00:12:01,BATCH-0003471,PROD-023,LINE-10,QI-015,Visual,20,2,Dimensional,50.6564,50.5,49.5,55.8,0.805,249.82,Pass,Accept,1.201,OK
QI-001448,2024-01-03 00:14:00,BATCH-0005910,PROD-020,LINE-10,QI-018,Ultrasonic,15,13,NONE,50.9152,50.5,49.5,62.8,1.385,256.14,Pass,Accept,1.331,Within spec
QI-001449,2024-01-03 00:16:00,BATCH-0004248,PROD-016,LINE-10,QI-007,Ultrasonic,31,5,Burr,49.8,50.5,49.5,60.7,0.679,243.05,Pass,Accept,1.546,Minor deviation
QI-001450,2024-01-03 00:18:18,BATCH-0004829,PROD-020,LINE-8,QI-018,CMM,51,10,Burr,50.5721,50.5,49.5,58.2,2.756,242.12,Pass,Accept,1.167,Minor deviation
QI-001451,2024-01-03 00:20:02,BATCH-0002155,PROD-019,LINE-9,QI-018,Visual,19,9,Crack,48.9465,50.5,49.5,58.9,0.284,253.54,Pass,Accept,1.196,Minor deviation
QI-001452,2024-01-03 00:22:09,BATCH-0005868,PROD-016,LINE-4,QI-006,Manual Gauge,84,0,Porosity,50.2347,50.5,49.5,57.3,2.661,253.46,Pass,Accept,1.585,Within spec
QI-001453,2024-01-03 00:24:07,BATCH-0002963,PROD-007,LINE-10,QI-013,Laser Scan,57,6,Dimensional,49.6333,50.5,49.5,60.3,0.791,248.06,Pass,Accept,1.361,Minor deviation
QI-001454,2024-01-03 00:26:10,BATCH-0004596,PROD-021,LINE-10,QI-006,X-Ray,99,8,Scratch,50.4455,50.5,49.5,59.1,1.274,249.99,Pass,Accept,1.491,Needs rework
QI-001455,2024-01-03 00:28:05,BATCH-0007756,PROD-013,LINE-8,QI-008,Visual,98,2,NONE,49.2258,50.5,49.5,58.6,0.922,253.09,Pass,Accept,1.691,Critical failure
QI-001456,2024-01-03 00:30:19,BATCH-0008067,PROD-021,LINE-7,QI-015,CMM,55,12,Dimensional,49.3632,50.5,49.5,59.2,2.567,249.23,Pass,Accept,1.262,Needs rework
QI-001457,2024-01-03 00:32:09,BATCH-0008007,PROD-008,LINE-1,QI-020,X-Ray,75,5,Burr,50.7731,50.5,49.5,59.6,1.675,249.39,Pass,Accept,1.289,Needs rework
QI-001458,2024-01-03 00:34:19,BATCH-0007905,PROD-015,LINE-4,QI-002,Ultrasonic,39,6,NONE,49.7432,50.5,49.5,55.0,0.473,248.88,Pass,Accept,0.972,Minor deviation
QI-001459,2024-01-03 00:36:29,BATCH-0004147,PROD-023,LINE-4,QI-010,CMM,43,1,NONE,49.9635,50.5,49.5,58.6,0.2,249.23,Pass,Accept,1.51,Minor deviation
QI-001460,2024-01-03 00:38:07,BATCH-0004674,PROD-004,LINE-7,QI-010,CMM,78,12,NONE,50.1402,50.5,49.5,53.7,0.316,253.09,Pass,Accept,1.758,Needs rework
QI-001461,2024-01-03 00:40:00,BATCH-0004481,PROD-017,LINE-6,QI-020,CMM,12,10,Burr,50.5502,50.5,49.5,62.8,0.2,249.71,Pass,Accept,1.497,OK
QI-001462,2024-01-03 00:42:15,BATCH-0009266,PROD-010,LINE-6,QI-003,CMM,19,5,Contamination,50.4255,50.5,49.5,59.5,0.2,243.86,Pass,Accept,1.668,OK
QI-001463,2024-01-03 00:44:22,BATCH-0006399,PROD-023,LINE-3,QI-011,Ultrasonic,95,1,NONE,50.0296,50.5,49.5,54.1,3.866,239.44,Fail,Accept,1.342,Critical failure
QI-001464,2024-01-03 00:46:22,BATCH-0004335,PROD-010,LINE-8,QI-011,Ultrasonic,93,10,Burr,50.4067,50.5,49.5,61.5,1.078,253.87,Pass,Accept,1.602,OK
QI-001465,2024-01-03 00:48:08,BATCH-0009623,PROD-005,LINE-10,QI-016,Laser Scan,86,2,NONE,49.8886,50.5,49.5,60.1,0.2,251.55,Pass,Accept,1.723,Minor deviation
QI-001466,2024-01-03 00:50:03,BATCH-0004019,PROD-006,LINE-9,QI-010,Visual,86,8,Scratch,49.8972,50.5,49.5,51.1,0.666,254.39,Pass,Accept,1.585,Minor deviation
QI-001467,2024-01-03 00:52:14,BATCH-0000556,PROD-010,LINE-7,QI-010,Visual,95,4,Burr,50.4845,50.5,49.5,61.0,0.249,245.73,Pass,Accept,1.736,Minor deviation
QI-001468,2024-01-03 00:54:18,BATCH-0005016,PROD-002,LINE-9,QI-002,Laser Scan,14,13,NONE,49.4502,50.5,49.5,57.6,0.364,251.98,Pass,Rework,1.53,Within spec
QI-001469,2024-01-03 00:56:18,BATCH-0006999,PROD-023,LINE-6,QI-018,CMM,41,14,NONE,49.2369,50.5,49.5,57.3,2.726,247.64,Pass,Accept,1.14,Needs rework
QI-001470,2024-01-03 00:58:30,BATCH-0004626,PROD-022,LINE-8,QI-012,Manual Gauge,57,6,NONE,49.6335,50.5,49.5,53.0,1.31,246.62,Pass,Accept,1.48,Needs rework
QI-001471,2024-01-03 01:00:20,BATCH-0000867,PROD-017,LINE-3,QI-006,X-Ray,57,0,Scratch,50.3091,50.5,49.5,60.4,2.361,245.88,Pass,Accept,1.7,Critical failure
QI-001472,2024-01-03 01:02:13,BATCH-0000800,PROD-013,LINE-9,QI-005,Manual Gauge,50,1,Crack,50.6543,50.5,49.5,58.8,3.851,252.51,Pass,Accept,1.163,Within spec
QI-001473,2024-01-03 01:04:10,BATCH-0007124,PROD-019,LINE-2,QI-018,X-Ray,37,6,Missing Feature,49.2929,50.5,49.5,60.3,1.945,255.02,Pass,Rework,1.569,Minor deviation
QI-001474,2024-01-03 01:06:08,BATCH-0000143,PROD-020,LINE-1,QI-019,Manual Gauge,80,1,Surface Finish,49.7006,50.5,49.5,62.9,0.34,243.28,Pass,Accept,1.746,Critical failure
QI-001475,2024-01-03 01:08:13,BATCH-0006333,PROD-017,LINE-2,QI-019,Manual Gauge,64,6,NONE,49.6475,50.5,49.5,58.4,2.692,246.36,Pass,Accept,1.46,OK
QI-001476,2024-01-03 01:10:24,BATCH-0009312,PROD-003,LINE-3,QI-016,Ultrasonic,78,1,NONE,50.4346,50.5,49.5,56.7,0.744,252.55,Pass,Accept,1.772,Critical failure
QI-001477,2024-01-03 01:12:12,BATCH-0008718,PROD-009,LINE-10,QI-015,X-Ray,98,13,Scratch,49.4439,50.5,49.5,57.9,0.489,245.49,Pass,Accept,1.522,Minor deviation
QI-001478,2024-01-03 01:14:04,BATCH-0008373,PROD-013,LINE-4,QI-014,Visual,98,10,NONE,48.897,50.5,49.5,60.5,1.093,251.72,Pass,Accept,0.982,Critical failure
QI-001479,2024-01-03 01:16:16,BATCH-0002224,PROD-014,LINE-9,QI-013,Laser Scan,68,11,NONE,50.0217,50.5,49.5,57.4,2.351,254.47,Pass,Accept,1.436,Needs rework
QI-001480,2024-01-03 01:18:19,BATCH-0006393,PROD-015,LINE-10,QI-013,Manual Gauge,49,11,NONE,49.7604,50.5,49.5,53.3,2.959,245.89,Pass,Accept,1.271,Within spec
QI-001481,2024-01-03 01:20:15,BATCH-0004877,PROD-025,LINE-4,QI-014,X-Ray,67,2,Missing Feature,49.7141,50.5,49.5,61.0,1.012,240.41,Pass,Accept,2.139,Critical failure
QI-001482,2024-01-03 01:22:22,BATCH-0008952,PROD-007,LINE-8,QI-017,X-Ray,89,4,Porosity,49.9726,50.5,49.5,58.6,0.486,252.19,Pass,Accept,1.231,Critical failure
QI-001483,2024-01-03 01:24:06,BATCH-0007118,PROD-016,LINE-1,QI-016,Ultrasonic,56,7,NONE,50.0298,50.5,49.5,57.6,1.04,244.38,Pass,Accept,1.034,Within spec
QI-001484,2024-01-03 01:26:11,BATCH-0002063,PROD-021,LINE-5,QI-016,Visual,93,11,Contamination,49.5829,50.5,49.5,62.1,1.416,249.74,Pass,Accept,1.601,Needs rework
QI-001485,2024-01-03 01:28:03,BATCH-0007496,PROD-006,LINE-8,QI-004,CMM,96,3,Dimensional,50.2041,50.5,49.5,57.4,0.242,251.51,Pass,Accept,1.071,Critical failure
QI-001486,2024-01-03 01:30:16,BATCH-0005967,PROD-020,LINE-3,QI-020,Manual Gauge,28,14,NONE,49.5633,50.5,49.5,52.9,0.2,248.22,Pass,Accept,1.306,OK
QI-001487,2024-01-03 01:32:19,BATCH-0005981,PROD-004,LINE-1,QI-003,Ultrasonic,10,4,Missing Feature,49.9985,50.5,49.5,60.0,0.2,249.16,Pass,Rework,1.37,OK
QI-001488,2024-01-03 01:34:25,BATCH-0003407,PROD-022,LINE-2,QI-002,Visual,56,8,Scratch,49.6192,50.5,49.5,61.7,1.59,261.14,Pass,Accept,1.072,Minor deviation
QI-001489,2024-01-03 01:36:12,BATCH-0008141,PROD-002,LINE-1,QI-003,X-Ray,73,13,Crack,49.5036,50.5,49.5,56.1,1.717,250.96,Pass,Rework,2.163,Needs rework
QI-001490,2024-01-03 01:38:05,BATCH-0007580,PROD-009,LINE-9,QI-008,X-Ray,20,10,Dimensional,50.1108,50.5,49.5,57.1,0.2,245.23,Pass,Rework,1.564,Needs rework
QI-001491,2024-01-03 01:40:04,BATCH-0009728,PROD-015,LINE-8,QI-018,Visual,84,4,Burr,49.5943,50.5,49.5,52.9,4.799,251.08,Pass,Accept,1.393,Minor deviation
QI-001492,2024-01-03 01:42:10,BATCH-0003734,PROD-010,LINE-2,QI-002,Laser Scan,97,13,Surface Finish,50.5852,50.5,49.5,60.2,0.2,259.48,Pass,Accept,1.512,Minor deviation
QI-001493,2024-01-03 01:44:04,BATCH-0009216,PROD-002,LINE-4,QI-017,X-Ray,39,3,Surface Finish,49.9764,50.5,49.5,55.6,0.496,248.76,Pass,Accept,1.693,OK
QI-001494,2024-01-03 01:46:14,BATCH-0005762,PROD-021,LINE-10,QI-015,Laser Scan,75,14,NONE,49.6486,50.5,49.5,59.3,1.776,253.68,Pass,Accept,1.815,Within spec
QI-001495,2024-01-03 01:48:24,BATCH-0004756,PROD-017,LINE-2,QI-014,Visual,50,3,Crack,49.4193,50.5,49.5,63.9,1.837,248.53,Pass,Accept,1.586,Minor deviation
QI-001496,2024-01-03 01:50:10,BATCH-0006224,PROD-004,LINE-10,QI-008,Manual Gauge,52,2,Contamination,49.6478,50.5,49.5,59.5,2.18,248.34,Pass,Rework,1.311,Critical failure
QI-001497,2024-01-03 01:52:20,BATCH-0000340,PROD-019,LINE-9,QI-009,Visual,81,8,NONE,50.0385,50.5,49.5,57.2,2.119,248.57,Pass,Accept,1.355,Critical failure
QI-001498,2024-01-03 01:54:12,BATCH-0009549,PROD-019,LINE-6,QI-009,CMM,16,8,Dimensional,49.6836,50.5,49.5,61.1,2.009,260.35,Pass,Accept,1.463,OK
QI-001499,2024-01-03 01:56:01,BATCH-0001650,PROD-023,LINE-6,QI-018,CMM,77,4,Surface Finish,50.7664,50.5,49.5,61.1,0.2,250.59,Pass,Accept,1.813,Critical failure
QI-001500,2024-01-03 01:58:00,BATCH-0002290,PROD-023,LINE-5,QI-002,X-Ray,97,5,NONE,49.3539,50.5,49.5,60.5,6.029,242.8,Pass,Accept,1.536,Within spec
QI-001501,2024-01-03 02:00:05,BATCH-0001988,PROD-010,LINE-4,QI-016,Visual,71,3,Crack,49.8052,50.5,49.5,55.9,0.925,253.15,Pass,Accept,1.228,Critical failure
QI-001502,2024-01-03 02:02:04,BATCH-0000363,PROD-015,LINE-9,QI-001,X-Ray,74,1,Scratch,49.5412,50.5,49.5,52.6,1.486,241.36,Pass,Scrap,1.759,Within spec
QI-001503,2024-01-03 02:04:07,BATCH-0004165,PROD-001,LINE-5,QI-016,Ultrasonic,76,1,NONE,49.2737,50.5,49.5,56.6,0.245,256.79,Pass,Accept,1.771,Minor deviation
QI-001504,2024-01-03 02:06:01,BATCH-0000400,PROD-012,LINE-1,QI-001,Ultrasonic,20,1,Burr,49.2828,50.5,49.5,57.8,0.2,244.53,Pass,Accept,1.231,Within spec
QI-001505,2024-01-03 02:08:04,BATCH-0007665,PROD-017,LINE-1,QI-011,CMM,63,4,NONE,49.6219,50.5,49.5,57.1,2.138,250.01,Pass,Rework,1.86,Within spec
QI-001506,2024-01-03 02:10:07,BATCH-0002575,PROD-003,LINE-1,QI-009,Ultrasonic,68,13,NONE,50.0624,50.5,49.5,54.6,0.771,252.39,Pass,Accept,1.472,Critical failure
QI-001507,2024-01-03 02:12:28,BATCH-0005906,PROD-004,LINE-5,QI-005,X-Ray,36,14,Burr,50.8454,50.5,49.5,55.9,1.08,250.87,Fail,Accept,1.699,Needs rework
QI-001508,2024-01-03 02:14:30,BATCH-0004150,PROD-016,LINE-10,QI-018,Visual,45,12,Surface Finish,49.3713,50.5,49.5,57.3,1.635,250.74,Pass,Accept,1.984,OK
QI-001509,2024-01-03 02:16:09,BATCH-0005804,PROD-002,LINE-6,QI-018,X-Ray,91,10,NONE,50.932,50.5,49.5,56.8,0.2,261.77,Fail,Accept,1.314,OK
QI-001510,2024-01-03 02:18:01,BATCH-0003246,PROD-014,LINE-6,QI-005,Laser Scan,62,1,NONE,50.3232,50.5,49.5,56.8,2.136,253.92,Pass,Accept,1.557,Needs rework
QI-001511,2024-01-03 02:20:11,BATCH-0009881,PROD-016,LINE-10,QI-011,Visual,52,13,Porosity,49.9716,50.5,49.5,57.2,1.665,252.96,Pass,Accept,1.77,Minor deviation
QI-001512,2024-01-03 02:22:12,BATCH-0007129,PROD-010,LINE-3,QI-014,Ultrasonic,38,7,Crack,49.4946,50.5,49.5,52.7,0.449,259.15,Pass,Accept,1.367,Minor deviation
QI-001513,2024-01-03 02:24:23,BATCH-0000714,PROD-017,LINE-9,QI-018,Manual Gauge,78,7,NONE,51.1928,50.5,49.5,56.9,1.323,248.78,Pass,Accept,1.26,Critical failure
QI-001514,2024-01-03 02:26:14,BATCH-0001517,PROD-018,LINE-7,QI-005,Manual Gauge,66,11,Contamination,49.1768,50.5,49.5,54.5,0.2,249.57,Pass,Accept,1.267,Critical failure
QI-001515,2024-01-03 02:28:14,BATCH-0007113,PROD-011,LINE-9,QI-010,Ultrasonic,91,11,Dimensional,49.5017,50.5,49.5,59.1,1.826,248.72,Pass,Accept,1.877,Within spec
QI-001516,2024-01-03 02:30:27,BATCH-0000991,PROD-010,LINE-5,QI-020,CMM,45,11,Burr,50.9557,50.5,49.5,53.8,0.514,244.95,Pass,Accept,1.572,Minor deviation
QI-001517,2024-01-03 02:32:27,BATCH-0009397,PROD-008,LINE-2,QI-002,CMM,93,13,NONE,49.9634,50.5,49.5,56.1,2.167,243.03,Pass,Accept,1.815,Critical failure
QI-001518,2024-01-03 02:34:30,BATCH-0003647,PROD-002,LINE-5,QI-006,Manual Gauge,81,6,Surface Finish,49.293,50.5,49.5,63.4,0.42,252.2,Pass,Rework,1.438,Needs rework
QI-001519,2024-01-03 02:36:03,BATCH-0002316,PROD-025,LINE-7,QI-013,Visual,43,1,Dimensional,50.7508,50.5,49.5,56.0,0.2,248.12,Pass,Accept,0.971,OK
QI-001520,2024-01-03 02:38:05,BATCH-0004144,PROD-004,LINE-3,QI-017,Laser Scan,33,11,Surface Finish,50.6753,50.5,49.5,57.5,0.7,253.18,Pass,Accept,1.988,Within spec
QI-001521,2024-01-03 02:40:11,BATCH-0007680,PROD-022,LINE-7,QI-019,CMM,18,12,Missing Feature,50.4425,50.5,49.5,58.4,1.229,252.19,Pass,Accept,1.348,Minor deviation
QI-001522,2024-01-03 02:42:02,BATCH-0000510,PROD-012,LINE-7,QI-015,Manual Gauge,13,0,Contamination,49.9182,50.5,49.5,64.5,0.879,249.87,Pass,Accept,2.16,Within spec
QI-001523,2024-01-03 02:44:21,BATCH-0007215,PROD-016,LINE-1,QI-009,Laser Scan,31,2,NONE,49.6171,50.5,49.5,57.3,2.188,246.36,Pass,Accept,1.992,Within spec
QI-001524,2024-01-03 02:46:11,BATCH-0009236,PROD-017,LINE-5,QI-003,Laser Scan,45,4,Contamination,49.8635,50.5,49.5,55.9,5.139,259.57,Pass,Accept,1.792,Needs rework
QI-001525,2024-01-03 02:48:16,BATCH-0002349,PROD-025,LINE-6,QI-020,X-Ray,17,14,Contamination,51.0033,50.5,49.5,64.1,0.2,247.43,Pass,Accept,2.076,Needs rework
QI-001526,2024-01-03 02:50:18,BATCH-0006507,PROD-021,LINE-3,QI-019,Ultrasonic,85,0,Missing Feature,50.7722,50.5,49.5,57.6,3.094,248.55,Pass,Accept,1.395,Critical failure
QI-001527,2024-01-03 02:52:23,BATCH-0002230,PROD-006,LINE-4,QI-010,X-Ray,12,0,Surface Finish,50.6404,50.5,49.5,54.2,0.829,246.87,Pass,Hold,1.508,Needs rework
QI-001528,2024-01-03 02:54:01,BATCH-0005908,PROD-014,LINE-1,QI-008,Ultrasonic,33,13,Scratch,49.9683,50.5,49.5,54.1,0.436,248.33,Pass,Scrap,1.318,Needs rework
QI-001529,2024-01-03 02:56:26,BATCH-0001707,PROD-004,LINE-2,QI-018,Ultrasonic,61,5,Crack,50.5957,50.5,49.5,61.7,1.186,252.4,Pass,Accept,1.192,Minor deviation
QI-001530,2024-01-03 02:58:08,BATCH-0007814,PROD-015,LINE-6,QI-014,CMM,66,14,Missing Feature,50.8939,50.5,49.5,56.1,0.2,249.11,Pass,Accept,1.026,Minor deviation
QI-001531,2024-01-03 03:00:03,BATCH-0004861,PROD-009,LINE-3,QI-002,X-Ray,40,6,Porosity,49.1377,50.5,49.5,58.6,0.2,241.59,Pass,Accept,1.33,Within spec
QI-001532,2024-01-03 03:02:29,BATCH-0003298,PROD-002,LINE-8,QI-011,Visual,85,6,NONE,50.1247,50.5,49.5,60.5,1.756,253.25,Pass,Scrap,1.282,Minor deviation
QI-001533,2024-01-03 03:04:16,BATCH-0002038,PROD-001,LINE-5,QI-007,CMM,52,8,Scratch,49.363,50.5,49.5,56.5,0.764,248.21,Pass,Accept,1.562,Minor deviation
QI-001534,2024-01-03 03:06:27,BATCH-0006460,PROD-005,LINE-10,QI-019,CMM,54,0,Crack,50.1527,50.5,49.5,57.5,2.093,248.52,Pass,Accept,1.088,OK
QI-001535,2024-01-03 03:08:20,BATCH-0000931,PROD-020,LINE-9,QI-007,X-Ray,24,8,NONE,50.3426,50.5,49.5,58.3,1.851,257.75,Pass,Accept,1.258,Within spec
QI-001536,2024-01-03 03:10:05,BATCH-0003566,PROD-004,LINE-9,QI-003,CMM,20,3,Porosity,49.8319,50.5,49.5,54.6,2.096,243.93,Pass,Accept,1.129,Critical failure
QI-001537,2024-01-03 03:12:24,BATCH-0002158,PROD-022,LINE-7,QI-018,Ultrasonic,16,13,Dimensional,50.0268,50.5,49.5,59.0,1.006,254.17,Pass,Accept,1.515,Within spec
QI-001538,2024-01-03 03:14:27,BATCH-0006091,PROD-004,LINE-6,QI-004,Laser Scan,46,3,NONE,50.3938,50.5,49.5,60.9,0.2,251.32,Pass,Accept,1.438,Minor deviation
QI-001539,2024-01-03 03:16:16,BATCH-0000963,PROD-008,LINE-7,QI-019,Visual,17,2,NONE,49.5041,50.5,49.5,63.3,3.376,257.88,Pass,Accept,1.951,Minor deviation
QI-001540,2024-01-03 03:18:28,BATCH-0003787,PROD-008,LINE-8,QI-011,X-Ray,68,5,Contamination,49.6815,50.5,49.5,58.6,0.482,257.1,Fail,Accept,1.538,Critical failure
QI-001541,2024-01-03 03:20:29,BATCH-0009577,PROD-012,LINE-5,QI-007,CMM,77,3,Missing Feature,50.3985,50.5,49.5,59.0,0.525,254.58,Pass,Accept,1.629,Critical failure
QI-001542,2024-01-03 03:22:00,BATCH-0004869,PROD-024,LINE-2,QI-009,CMM,41,5,Crack,50.6171,50.5,49.5,55.7,2.402,255.57,Pass,Accept,1.901,Needs rework
QI-001543,2024-01-03 03:24:10,BATCH-0004040,PROD-023,LINE-1,QI-019,Laser Scan,41,5,Dimensional,49.8341,50.5,49.5,59.0,1.694,255.87,Pass,Accept,1.807,Minor deviation
QI-001544,2024-01-03 03:26:02,BATCH-0009790,PROD-022,LINE-8,QI-002,Visual,16,10,Porosity,49.2574,50.5,49.5,61.1,0.359,245.64,Pass,Accept,1.758,Minor deviation
QI-001545,2024-01-03 03:28:13,BATCH-0008332,PROD-008,LINE-4,QI-012,CMM,91,0,Contamination,49.7947,50.5,49.5,64.6,2.873,249.51,Pass,Accept,1.691,Minor deviation
QI-001546,2024-01-03 03:30:12,BATCH-0008703,PROD-021,LINE-1,QI-016,Manual Gauge,77,5,Burr,50.539,50.5,49.5,56.5,0.435,250.98,Pass,Accept,1.046,Minor deviation
QI-001547,2024-01-03 03:32:13,BATCH-0004238,PROD-014,LINE-2,QI-014,X-Ray,6,7,Dimensional,50.1341,50.5,49.5,59.0,2.502,254.17,Pass,Accept,1.322,Minor deviation
QI-001548,2024-01-03 03:34:01,BATCH-0004382,PROD-020,LINE-7,QI-003,X-Ray,86,13,NONE,50.4911,50.5,49.5,54.2,0.915,251.03,Fail,Accept,1.148,Critical failure
QI-001549,2024-01-03 03:36:22,BATCH-0002533,PROD-016,LINE-9,QI-005,Laser Scan,97,2,NONE,49.8343,50.5,49.5,60.5,0.7,250.71,Pass,Accept,1.43,Needs rework
QI-001550,2024-01-03 03:38:17,BATCH-0007536,PROD-021,LINE-6,QI-010,Visual,82,2,Missing Feature,49.6494,50.5,49.5,58.7,3.31,258.08,Pass,Accept,1.699,Minor deviation
QI-001551,2024-01-03 03:40:25,BATCH-0009123,PROD-012,LINE-9,QI-001,Manual Gauge,7,4,NONE,50.3171,50.5,49.5,54.5,0.919,249.52,Pass,Accept,1.439,Needs rework
QI-001552,2024-01-03 03:42:03,BATCH-0009392,PROD-012,LINE-8,QI-020,CMM,94,7,NONE,50.0488,50.5,49.5,56.8,3.014,256.07,Pass,Scrap,1.657,Within spec
QI-001553,2024-01-03 03:44:27,BATCH-0005858,PROD-012,LINE-9,QI-008,CMM,83,14,NONE,49.6906,50.5,49.5,55.4,0.712,239.06,Pass,Accept,1.117,Minor deviation
QI-001554,2024-01-03 03:46:05,BATCH-0002545,PROD-001,LINE-4,QI-005,Visual,89,5,NONE,49.7468,50.5,49.5,59.6,1.273,253.96,Pass,Accept,1.267,Minor deviation
