production_id,date,shift,plant,production_line,machine_id,product_id,planned_units,actual_units,defective_units,scrap_units,cycle_time_sec,oee_pct,availability_pct,performance_pct,quality_pct,raw_material_used_kg,batch_id,operator_id,stoppage_minutes
PRD-000504,2024-11-16,Night,Plant-B,LINE-6,MCH-013,PROD-002,1093,1822,78,44,41.59,79.94,76.75,88.4,96.53,592.1,BATCH-0000504,W-0195,51.4
PRD-000505,2024-04-14,Afternoon,Plant-C,LINE-1,MCH-010,PROD-002,730,1455,38,42,36.9,80.22,87.76,96.79,98.02,463.05,BATCH-0000505,W-0031,10.6
PRD-000506,2024-06-07,Afternoon,Plant-C,LINE-7,MCH-041,PROD-019,1731,2068,4,2,60.21,87.43,92.75,100.0,95.63,538.12,BATCH-0000506,W-0003,3.8
PRD-000507,2024-09-08,Afternoon,Plant-B,LINE-5,MCH-010,PROD-002,1391,759,90,32,70.11,68.01,84.42,88.97,98.08,278.49,BATCH-0000507,W-0043,4.6
PRD-000508,2024-03-17,Afternoon,Plant-B,LINE-3,MCH-032,PROD-008,1108,2025,34,29,35.57,85.42,95.53,86.74,95.76,639.05,BATCH-0000508,W-0019,3.3
PRD-000509,2024-05-12,Night,Plant-C,LINE-4,MCH-042,PROD-011,797,1301,76,26,43.7,81.74,91.1,89.09,98.13,628.41,BATCH-0000509,W-0172,22.2
PRD-000510,2024-04-30,Afternoon,Plant-C,LINE-9,MCH-034,PROD-014,1036,1793,50,34,47.14,59.66,90.94,89.12,96.52,663.05,BATCH-0000510,W-0079,16.8
PRD-000511,2024-06-28,Morning,Plant-B,LINE-10,MCH-006,PROD-001,1877,813,29,33,42.0,71.07,85.68,89.64,92.78,479.72,BATCH-0000511,W-0067,27.5
PRD-000512,2024-10-12,Afternoon,Plant-C,LINE-2,MCH-040,PROD-019,636,1730,83,6,38.67,84.14,94.66,75.51,94.38,560.17,BATCH-0000512,W-0008,2.8
PRD-000513,2024-08-03,Afternoon,Plant-B,LINE-2,MCH-029,PROD-005,1275,944,91,5,56.11,77.37,85.6,83.78,95.7,442.17,BATCH-0000513,W-0028,2.6
PRD-000514,2024-02-12,Night,Plant-A,LINE-3,MCH-049,PROD-008,1056,1176,71,30,50.34,64.23,86.92,78.9,93.07,664.44,BATCH-0000514,W-0096,11.8
PRD-000515,2024-09-08,Morning,Plant-A,LINE-5,MCH-005,PROD-022,1954,1140,15,9,46.75,82.12,91.25,97.93,92.98,488.59,BATCH-0000515,W-0184,15.1
PRD-000516,2024-07-28,Night,Plant-A,LINE-4,MCH-045,PROD-006,1962,1986,26,23,37.64,77.84,88.29,80.14,92.76,624.73,BATCH-0000516,W-0026,2.2
PRD-000517,2024-09-30,Afternoon,Plant-B,LINE-9,MCH-047,PROD-018,950,445,21,20,51.32,69.88,90.9,78.36,99.42,463.5,BATCH-0000517,W-0121,15.5
PRD-000518,2024-03-27,Morning,Plant-A,LINE-2,MCH-040,PROD-017,1742,1583,57,41,50.29,88.68,93.49,95.1,100.0,561.35,BATCH-0000518,W-0093,0.3
PRD-000519,2024-03-24,Night,Plant-C,LINE-6,MCH-016,PROD-021,1003,574,61,15,50.89,57.5,92.66,89.41,96.34,541.13,BATCH-0000519,W-0038,0.3
PRD-000520,2024-06-11,Morning,Plant-B,LINE-9,MCH-026,PROD-010,1420,1648,2,15,59.42,80.83,85.65,78.82,96.91,628.11,BATCH-0000520,W-0196,1.2
PRD-000521,2024-02-21,Morning,Plant-A,LINE-8,MCH-030,PROD-009,705,1712,98,3,38.58,79.91,99.27,61.44,97.21,658.88,BATCH-0000521,W-0012,14.0
PRD-000522,2024-12-13,Night,Plant-A,LINE-9,MCH-016,PROD-009,1956,1794,41,47,56.5,74.38,83.31,93.69,95.33,401.14,BATCH-0000522,W-0167,18.3
PRD-000523,2024-03-05,Afternoon,Plant-C,LINE-5,MCH-016,PROD-025,1343,587,87,31,47.87,73.61,80.86,74.74,98.99,401.1,BATCH-0000523,W-0084,43.3
PRD-000524,2024-08-22,Afternoon,Plant-A,LINE-2,MCH-023,PROD-022,590,1949,85,29,32.35,85.37,83.48,90.23,98.08,730.3,BATCH-0000524,W-0073,7.9
PRD-000525,2024-12-08,Afternoon,Plant-A,LINE-7,MCH-009,PROD-019,1993,802,41,37,44.75,82.47,85.59,86.05,95.37,655.91,BATCH-0000525,W-0083,8.6
PRD-000526,2024-04-03,Morning,Plant-C,LINE-5,MCH-002,PROD-017,1228,1428,54,37,42.48,63.63,92.2,91.97,93.93,531.85,BATCH-0000526,W-0121,1.3
PRD-000527,2024-07-20,Afternoon,Plant-A,LINE-9,MCH-006,PROD-022,1976,1521,8,6,58.88,73.0,87.86,81.4,96.8,437.91,BATCH-0000527,W-0120,33.3
PRD-000528,2024-08-19,Night,Plant-A,LINE-2,MCH-049,PROD-008,862,1088,54,33,38.52,82.56,84.56,85.46,97.48,536.95,BATCH-0000528,W-0092,24.3
PRD-000529,2024-01-02,Afternoon,Plant-A,LINE-3,MCH-049,PROD-002,747,1683,60,7,46.58,68.35,96.75,91.22,95.73,568.9,BATCH-0000529,W-0031,3.9
PRD-000530,2024-09-17,Night,Plant-C,LINE-5,MCH-024,PROD-016,619,1133,35,13,41.0,80.45,94.98,100.0,96.66,573.74,BATCH-0000530,W-0125,21.8
PRD-000531,2024-07-19,Night,Plant-B,LINE-3,MCH-014,PROD-015,885,970,10,42,30.85,76.96,94.76,76.96,92.96,362.71,BATCH-0000531,W-0149,63.6
PRD-000532,2024-08-02,Afternoon,Plant-A,LINE-10,MCH-024,PROD-012,1154,939,46,36,58.75,81.75,93.48,100.0,96.64,596.85,BATCH-0000532,W-0113,5.5
PRD-000533,2024-12-26,Morning,Plant-A,LINE-8,MCH-046,PROD-016,584,818,18,37,54.15,82.53,85.93,93.78,99.46,598.42,BATCH-0000533,W-0098,3.9
PRD-000534,2024-07-17,Afternoon,Plant-B,LINE-1,MCH-018,PROD-018,1511,1867,20,6,46.25,70.94,84.58,92.63,97.03,673.24,BATCH-0000534,W-0012,13.1
PRD-000535,2024-06-28,Morning,Plant-A,LINE-10,MCH-042,PROD-018,1890,1307,81,36,57.55,64.87,91.69,66.6,99.04,632.1,BATCH-0000535,W-0122,4.4
PRD-000536,2024-12-23,Morning,Plant-A,LINE-9,MCH-031,PROD-011,952,1887,81,24,55.68,79.43,97.2,81.97,93.17,705.76,BATCH-0000536,W-0056,21.2
PRD-000537,2024-07-23,Morning,Plant-C,LINE-7,MCH-037,PROD-001,713,2069,34,20,39.1,79.72,85.95,92.74,97.24,609.72,BATCH-0000537,W-0024,4.8
PRD-000538,2024-03-19,Night,Plant-C,LINE-7,MCH-040,PROD-018,573,825,65,26,63.0,74.56,93.76,81.96,95.12,420.76,BATCH-0000538,W-0082,11.1
PRD-000539,2024-03-07,Morning,Plant-C,LINE-3,MCH-026,PROD-021,574,1906,69,6,54.14,79.54,94.01,92.74,96.44,619.24,BATCH-0000539,W-0025,3.1
PRD-000540,2024-05-21,Morning,Plant-B,LINE-10,MCH-045,PROD-022,1359,534,27,48,50.91,57.46,83.64,85.53,94.64,445.26,BATCH-0000540,W-0113,6.9
PRD-000541,2024-02-09,Afternoon,Plant-A,LINE-7,MCH-039,PROD-019,1251,1202,58,19,24.06,74.94,94.16,87.78,99.79,410.65,BATCH-0000541,W-0128,35.5
PRD-000542,2024-11-14,Morning,Plant-A,LINE-10,MCH-022,PROD-008,527,1111,26,35,56.04,57.82,86.08,80.84,97.26,675.2,BATCH-0000542,W-0109,18.5
PRD-000543,2024-08-14,Afternoon,Plant-C,LINE-8,MCH-021,PROD-011,657,1115,99,49,41.14,81.47,90.21,80.24,99.99,294.84,BATCH-0000543,W-0047,1.2
PRD-000544,2024-07-28,Morning,Plant-B,LINE-3,MCH-016,PROD-002,1870,778,74,31,48.81,75.8,86.21,85.33,97.25,420.34,BATCH-0000544,W-0018,3.9
PRD-000545,2024-10-06,Morning,Plant-B,LINE-9,MCH-036,PROD-017,1445,1355,35,10,26.5,80.53,88.93,96.24,95.77,484.25,BATCH-0000545,W-0017,1.7
PRD-000546,2024-08-14,Morning,Plant-B,LINE-3,MCH-022,PROD-020,593,652,4,35,36.6,77.5,94.35,76.89,93.67,475.6,BATCH-0000546,W-0107,4.9
PRD-000547,2024-09-18,Afternoon,Plant-C,LINE-8,MCH-008,PROD-023,883,728,66,11,55.89,85.23,100.0,86.96,98.27,427.62,BATCH-0000547,W-0012,21.7
PRD-000548,2024-05-18,Morning,Plant-B,LINE-8,MCH-001,PROD-019,763,1506,33,49,33.83,76.88,98.3,80.02,96.55,459.29,BATCH-0000548,W-0168,12.2
PRD-000549,2024-11-15,Night,Plant-B,LINE-3,MCH-040,PROD-019,1631,517,99,35,40.72,73.29,94.91,97.16,97.13,399.36,BATCH-0000549,W-0165,0.3
PRD-000550,2024-05-30,Afternoon,Plant-B,LINE-1,MCH-032,PROD-015,1829,1106,8,12,46.77,72.74,91.79,89.23,98.52,610.67,BATCH-0000550,W-0143,19.1
PRD-000551,2024-08-30,Afternoon,Plant-B,LINE-2,MCH-015,PROD-016,1172,1167,6,4,35.55,68.33,98.21,92.91,95.52,641.15,BATCH-0000551,W-0087,1.9
PRD-000552,2024-08-27,Night,Plant-C,LINE-2,MCH-023,PROD-004,1671,1603,24,3,49.41,87.79,88.54,92.15,95.67,488.87,BATCH-0000552,W-0075,8.2
PRD-000553,2024-02-11,Night,Plant-B,LINE-9,MCH-003,PROD-006,975,1425,15,37,59.63,83.64,85.92,100.0,95.54,644.9,BATCH-0000553,W-0068,11.6
PRD-000554,2024-12-05,Night,Plant-C,LINE-7,MCH-028,PROD-015,628,1140,33,48,43.76,87.7,90.51,86.41,99.77,553.25,BATCH-0000554,W-0088,15.2
PRD-000555,2024-03-22,Afternoon,Plant-C,LINE-10,MCH-024,PROD-001,1241,1656,77,17,40.0,93.29,83.41,100.0,94.5,648.8,BATCH-0000555,W-0116,3.6
PRD-000556,2024-10-23,Morning,Plant-C,LINE-10,MCH-037,PROD-003,1478,429,17,48,40.79,67.94,93.86,85.33,93.94,536.6,BATCH-0000556,W-0166,2.4
PRD-000557,2024-01-31,Night,Plant-B,LINE-1,MCH-038,PROD-015,1473,597,19,45,48.34,79.38,96.15,82.82,98.19,502.26,BATCH-0000557,W-0149,32.8
PRD-000558,2024-11-23,Afternoon,Plant-B,LINE-7,MCH-037,PROD-017,1597,1753,42,35,57.8,64.32,97.8,84.55,94.91,340.74,BATCH-0000558,W-0168,3.8
PRD-000559,2024-04-16,Morning,Plant-C,LINE-8,MCH-046,PROD-010,1833,768,66,32,31.25,77.33,91.53,86.35,97.96,489.48,BATCH-0000559,W-0198,22.4
PRD-000560,2024-07-04,Afternoon,Plant-A,LINE-7,MCH-027,PROD-012,1661,767,72,5,59.0,62.74,89.45,86.93,94.77,349.38,BATCH-0000560,W-0184,13.7
PRD-000561,2024-01-08,Morning,Plant-C,LINE-8,MCH-043,PROD-010,1908,1895,97,18,50.09,90.29,88.87,84.09,99.88,453.6,BATCH-0000561,W-0070,3.6
PRD-000562,2024-01-19,Night,Plant-A,LINE-4,MCH-015,PROD-010,1612,1299,44,9,30.25,70.85,86.52,80.16,93.53,552.99,BATCH-0000562,W-0181,2.6
PRD-000563,2024-07-30,Afternoon,Plant-A,LINE-2,MCH-027,PROD-018,1624,932,19,9,37.72,63.53,88.5,79.66,95.08,494.96,BATCH-0000563,W-0091,6.4
PRD-000564,2024-02-25,Afternoon,Plant-C,LINE-2,MCH-014,PROD-008,1591,464,72,41,46.6,78.86,88.38,82.17,93.29,563.74,BATCH-0000564,W-0066,3.7
PRD-000565,2024-09-18,Night,Plant-C,LINE-2,MCH-015,PROD-008,924,1531,50,7,40.21,70.06,90.31,82.43,96.98,433.46,BATCH-0000565,W-0090,6.2
PRD-000566,2024-06-04,Afternoon,Plant-C,LINE-1,MCH-036,PROD-008,959,539,61,10,41.36,69.68,94.33,88.74,96.53,633.28,BATCH-0000566,W-0189,12.9
PRD-000567,2024-09-13,Afternoon,Plant-B,LINE-7,MCH-044,PROD-005,1960,1471,61,23,58.17,86.49,87.02,92.79,97.25,470.7,BATCH-0000567,W-0182,8.6
PRD-000568,2024-10-16,Afternoon,Plant-C,LINE-5,MCH-033,PROD-010,1307,1064,19,10,48.34,53.68,99.63,84.06,98.2,397.9,BATCH-0000568,W-0047,7.0
PRD-000569,2024-09-04,Morning,Plant-C,LINE-6,MCH-003,PROD-024,1233,1175,31,10,58.49,88.75,96.72,84.31,97.21,632.14,BATCH-0000569,W-0185,5.9
PRD-000570,2024-06-03,Morning,Plant-C,LINE-3,MCH-035,PROD-025,1894,996,54,27,28.66,81.67,87.05,78.51,95.63,584.07,BATCH-0000570,W-0044,15.4
PRD-000571,2024-03-15,Morning,Plant-B,LINE-3,MCH-014,PROD-018,1564,993,71,39,39.08,78.61,89.94,96.32,98.19,529.14,BATCH-0000571,W-0019,27.0
PRD-000572,2024-03-05,Morning,Plant-A,LINE-3,MCH-032,PROD-023,1738,1827,59,9,38.98,71.21,96.91,95.5,95.6,606.57,BATCH-0000572,W-0057,4.9
PRD-000573,2024-04-30,Morning,Plant-C,LINE-1,MCH-012,PROD-007,713,1357,14,7,50.29,71.85,77.52,90.3,97.75,600.47,BATCH-0000573,W-0066,13.1
PRD-000574,2024-06-09,Afternoon,Plant-A,LINE-7,MCH-045,PROD-017,1741,1699,47,18,36.45,69.59,86.35,89.43,97.22,351.09,BATCH-0000574,W-0129,13.8
PRD-000575,2024-05-19,Morning,Plant-B,LINE-4,MCH-003,PROD-016,1208,537,48,14,40.26,68.02,90.53,82.71,98.19,780.43,BATCH-0000575,W-0154,4.6
PRD-000576,2024-04-17,Night,Plant-B,LINE-5,MCH-048,PROD-002,1505,1091,37,1,50.63,96.49,92.86,87.14,95.71,516.07,BATCH-0000576,W-0178,5.8
PRD-000577,2024-06-06,Night,Plant-C,LINE-5,MCH-033,PROD-007,1836,689,82,12,51.32,75.59,91.23,97.4,94.79,521.31,BATCH-0000577,W-0083,6.3
PRD-000578,2024-01-28,Night,Plant-A,LINE-7,MCH-031,PROD-023,1272,1184,24,20,42.59,81.75,92.6,87.02,99.33,349.59,BATCH-0000578,W-0096,1.8
PRD-000579,2024-06-06,Morning,Plant-A,LINE-7,MCH-004,PROD-008,1827,1413,86,40,44.04,69.55,100.0,100.0,97.02,424.75,BATCH-0000579,W-0054,14.7
PRD-000580,2024-08-02,Morning,Plant-C,LINE-5,MCH-036,PROD-023,597,1127,11,8,34.03,80.63,94.74,76.46,94.97,555.57,BATCH-0000580,W-0034,14.9
PRD-000581,2024-07-12,Morning,Plant-C,LINE-3,MCH-033,PROD-007,1643,1231,92,29,38.26,82.86,94.61,86.54,92.81,475.93,BATCH-0000581,W-0160,1.3
PRD-000582,2024-10-07,Morning,Plant-A,LINE-10,MCH-032,PROD-009,644,402,96,2,53.05,100.0,82.77,81.27,100.0,579.65,BATCH-0000582,W-0018,54.4
PRD-000583,2024-03-19,Night,Plant-C,LINE-10,MCH-024,PROD-013,830,1273,51,27,34.75,79.67,90.75,73.6,96.58,517.57,BATCH-0000583,W-0038,2.8
PRD-000584,2024-02-26,Night,Plant-C,LINE-6,MCH-042,PROD-019,1973,820,40,0,30.62,73.7,93.13,100.0,100.0,588.48,BATCH-0000584,W-0101,9.2
PRD-000585,2024-03-18,Night,Plant-C,LINE-3,MCH-012,PROD-015,844,1202,89,7,59.31,86.32,98.92,85.23,96.58,620.91,BATCH-0000585,W-0122,1.0
PRD-000586,2024-02-14,Morning,Plant-B,LINE-2,MCH-009,PROD-024,1306,2083,37,27,31.34,76.8,86.46,91.86,98.4,448.15,BATCH-0000586,W-0164,22.2
PRD-000587,2024-06-21,Night,Plant-B,LINE-4,MCH-032,PROD-019,1081,1432,96,37,46.07,94.34,91.63,84.75,99.89,326.44,BATCH-0000587,W-0129,22.7
PRD-000588,2024-11-22,Night,Plant-B,LINE-1,MCH-017,PROD-017,1036,547,56,11,43.46,63.26,89.36,91.87,96.25,545.9,BATCH-0000588,W-0112,11.9
PRD-000589,2024-08-09,Night,Plant-A,LINE-5,MCH-001,PROD-010,648,638,13,43,44.13,71.2,91.37,91.45,97.84,477.58,BATCH-0000589,W-0078,12.6
PRD-000590,2024-05-09,Night,Plant-B,LINE-5,MCH-028,PROD-020,1604,1887,9,5,36.89,73.1,91.64,87.84,94.6,576.01,BATCH-0000590,W-0045,19.8
PRD-000591,2024-11-05,Afternoon,Plant-A,LINE-4,MCH-031,PROD-007,1044,1715,63,9,70.06,84.72,93.64,90.48,96.82,541.68,BATCH-0000591,W-0085,30.2
PRD-000592,2024-07-01,Morning,Plant-B,LINE-8,MCH-049,PROD-002,1101,1012,42,32,46.4,83.0,88.12,74.99,96.9,587.2,BATCH-0000592,W-0120,6.7
PRD-000593,2024-03-24,Morning,Plant-C,LINE-9,MCH-001,PROD-011,550,1822,71,30,75.48,68.44,88.99,80.79,94.91,554.91,BATCH-0000593,W-0001,8.1
PRD-000594,2024-07-01,Afternoon,Plant-C,LINE-4,MCH-031,PROD-014,1954,1517,63,9,44.14,74.7,92.47,88.36,99.05,593.51,BATCH-0000594,W-0191,6.7
PRD-000595,2024-05-11,Afternoon,Plant-A,LINE-2,MCH-002,PROD-022,668,1127,95,6,41.66,78.13,94.52,91.68,96.71,393.96,BATCH-0000595,W-0036,5.5
PRD-000596,2024-10-21,Morning,Plant-B,LINE-8,MCH-015,PROD-008,633,1956,43,49,40.95,85.73,83.06,85.05,100.0,581.4,BATCH-0000596,W-0122,1.9
PRD-000597,2024-03-29,Afternoon,Plant-B,LINE-3,MCH-026,PROD-011,1117,906,31,44,27.77,86.61,87.87,100.0,97.55,528.5,BATCH-0000597,W-0124,19.6
PRD-000598,2024-01-09,Night,Plant-A,LINE-9,MCH-019,PROD-004,1952,1684,54,41,45.85,84.76,89.65,87.83,95.24,419.22,BATCH-0000598,W-0148,29.0
PRD-000599,2024-07-23,Morning,Plant-C,LINE-7,MCH-027,PROD-010,1757,1460,78,33,52.27,68.78,88.84,83.14,97.63,481.85,BATCH-0000599,W-0014,0.9
PRD-000600,2024-12-03,Morning,Plant-C,LINE-2,MCH-048,PROD-003,965,412,33,45,52.54,79.98,94.98,86.88,95.79,724.17,BATCH-0000600,W-0123,29.2
PRD-000601,2024-12-19,Morning,Plant-B,LINE-4,MCH-035,PROD-005,1701,1463,44,0,60.29,81.67,88.2,96.32,99.42,531.08,BATCH-0000601,W-0113,39.4
PRD-000602,2024-05-21,Night,Plant-B,LINE-5,MCH-008,PROD-009,1063,1369,73,2,42.0,79.45,95.94,85.32,94.05,579.33,BATCH-0000602,W-0042,18.6
PRD-000603,2024-05-24,Night,Plant-B,LINE-5,MCH-013,PROD-003,1257,1952,75,1,57.11,72.83,85.42,100.0,98.39,434.83,BATCH-0000603,W-0021,19.2
PRD-000604,2024-11-25,Morning,Plant-A,LINE-9,MCH-003,PROD-003,990,1215,95,17,57.09,63.76,90.12,92.4,95.16,470.54,BATCH-0000604,W-0040,32.6
PRD-000605,2024-02-15,Morning,Plant-A,LINE-2,MCH-034,PROD-008,1473,536,76,39,45.54,64.77,100.0,90.05,95.82,501.45,BATCH-0000605,W-0033,4.1
PRD-000606,2024-03-04,Night,Plant-C,LINE-10,MCH-046,PROD-025,1241,1647,62,39,42.07,87.12,88.02,93.3,97.14,565.74,BATCH-0000606,W-0160,5.2
PRD-000607,2024-02-21,Night,Plant-B,LINE-8,MCH-036,PROD-018,1016,432,96,43,58.99,67.94,88.81,77.28,98.85,315.01,BATCH-0000607,W-0068,12.0
PRD-000608,2024-12-09,Morning,Plant-C,LINE-2,MCH-028,PROD-010,696,1619,1,13,34.04,89.05,89.66,80.02,96.45,637.13,BATCH-0000608,W-0097,1.2
PRD-000609,2024-12-29,Night,Plant-C,LINE-2,MCH-043,PROD-010,1115,808,62,3,37.3,80.56,95.01,89.18,93.82,476.36,BATCH-0000609,W-0006,11.0
PRD-000610,2024-11-09,Morning,Plant-C,LINE-9,MCH-050,PROD-001,1666,1367,37,9,37.72,83.87,86.29,92.36,97.0,397.05,BATCH-0000610,W-0152,4.8
PRD-000611,2024-09-09,Night,Plant-B,LINE-4,MCH-012,PROD-014,565,1399,95,33,35.45,71.65,82.63,91.58,94.81,459.72,BATCH-0000611,W-0103,4.8
PRD-000612,2024-04-10,Morning,Plant-A,LINE-10,MCH-022,PROD-018,1518,1082,97,38,47.51,87.88,95.72,98.62,95.32,642.28,BATCH-0000612,W-0164,5.7
PRD-000613,2024-10-06,Morning,Plant-A,LINE-2,MCH-016,PROD-017,795,1923,21,49,41.06,54.9,96.57,95.55,97.1,543.02,BATCH-0000613,W-0194,2.6
PRD-000614,2024-10-08,Night,Plant-C,LINE-6,MCH-031,PROD-008,1931,1089,75,26,44.46,67.35,93.92,89.84,95.33,495.49,BATCH-0000614,W-0053,13.2
PRD-000615,2024-02-11,Morning,Plant-A,LINE-8,MCH-037,PROD-009,1692,1749,8,47,45.6,76.62,88.61,87.76,97.76,476.23,BATCH-0000615,W-0181,30.9
PRD-000616,2024-09-28,Afternoon,Plant-C,LINE-7,MCH-039,PROD-019,641,890,42,32,40.0,82.13,98.58,86.92,98.01,362.66,BATCH-0000616,W-0174,7.5
PRD-000617,2024-03-16,Morning,Plant-A,LINE-4,MCH-009,PROD-007,945,1505,3,2,46.63,70.01,100.0,75.88,99.29,394.76,BATCH-0000617,W-0135,0.4
PRD-000618,2024-08-25,Afternoon,Plant-A,LINE-7,MCH-001,PROD-001,1755,1060,22,17,64.69,75.36,92.51,85.45,94.19,490.57,BATCH-0000618,W-0123,34.2
PRD-000619,2024-05-07,Morning,Plant-C,LINE-9,MCH-045,PROD-002,1744,1097,55,11,44.29,74.74,91.39,94.29,97.94,601.5,BATCH-0000619,W-0172,51.0
PRD-000620,2024-01-02,Afternoon,Plant-A,LINE-10,MCH-030,PROD-014,1759,1983,42,21,45.24,69.56,88.08,89.82,93.1,447.54,BATCH-0000620,W-0156,2.5
PRD-000621,2024-12-08,Morning,Plant-A,LINE-7,MCH-014,PROD-010,546,1507,98,31,26.53,71.44,95.21,75.7,100.0,613.67,BATCH-0000621,W-0104,14.0
PRD-000622,2024-08-07,Afternoon,Plant-B,LINE-4,MCH-009,PROD-020,557,565,2,4,42.2,81.74,91.35,92.31,98.57,459.48,BATCH-0000622,W-0049,7.5
PRD-000623,2024-04-29,Afternoon,Plant-B,LINE-1,MCH-049,PROD-019,1011,780,96,25,45.85,70.89,83.95,95.05,98.5,444.24,BATCH-0000623,W-0167,8.2
PRD-000624,2024-06-06,Night,Plant-B,LINE-2,MCH-050,PROD-021,1212,692,66,10,44.87,69.44,92.68,89.06,97.33,490.52,BATCH-0000624,W-0080,14.6
PRD-000625,2024-04-25,Afternoon,Plant-C,LINE-10,MCH-010,PROD-006,1801,1328,52,25,44.71,84.39,89.83,84.84,96.23,484.52,BATCH-0000625,W-0159,29.8
PRD-000626,2024-06-21,Night,Plant-A,LINE-1,MCH-023,PROD-016,1554,1154,93,42,37.1,60.36,84.33,75.4,93.14,662.74,BATCH-0000626,W-0125,41.5
PRD-000627,2024-12-12,Morning,Plant-C,LINE-4,MCH-019,PROD-012,791,1131,91,17,44.34,70.37,92.1,85.46,98.08,435.76,BATCH-0000627,W-0114,9.4
PRD-000628,2024-10-27,Morning,Plant-C,LINE-8,MCH-025,PROD-020,1247,771,92,31,41.09,97.28,94.33,96.32,91.6,420.34,BATCH-0000628,W-0109,7.8
PRD-000629,2024-05-27,Morning,Plant-A,LINE-6,MCH-002,PROD-015,589,1479,80,37,52.33,86.35,79.97,90.06,95.47,417.29,BATCH-0000629,W-0134,5.4
PRD-000630,2024-09-13,Morning,Plant-A,LINE-4,MCH-003,PROD-024,915,1823,14,33,30.08,78.15,88.08,73.34,93.8,594.94,BATCH-0000630,W-0146,14.7
PRD-000631,2024-09-14,Morning,Plant-C,LINE-2,MCH-003,PROD-016,1249,854,33,46,49.73,84.93,89.01,68.75,95.83,277.01,BATCH-0000631,W-0060,13.0
PRD-000632,2024-04-01,Night,Plant-C,LINE-9,MCH-009,PROD-021,1731,1802,5,14,43.94,90.59,93.52,85.16,97.25,455.72,BATCH-0000632,W-0140,5.3
PRD-000633,2024-02-03,Morning,Plant-C,LINE-9,MCH-043,PROD-009,1797,639,19,40,55.93,81.87,93.29,98.34,97.83,374.84,BATCH-0000633,W-0074,9.4
PRD-000634,2024-09-27,Night,Plant-B,LINE-10,MCH-041,PROD-021,547,705,65,13,43.06,72.94,79.33,82.86,99.54,589.38,BATCH-0000634,W-0007,8.4
PRD-000635,2024-09-21,Morning,Plant-A,LINE-8,MCH-017,PROD-021,1588,2053,43,35,47.42,76.03,85.37,81.47,98.2,592.35,BATCH-0000635,W-0183,38.3
PRD-000636,2024-05-21,Night,Plant-C,LINE-8,MCH-006,PROD-008,653,1676,11,2,29.71,67.34,90.79,99.29,97.02,707.6,BATCH-0000636,W-0198,18.9
PRD-000637,2024-10-27,Afternoon,Plant-A,LINE-6,MCH-029,PROD-008,1334,1084,12,8,48.58,83.44,92.45,96.62,95.79,545.63,BATCH-0000637,W-0061,7.6
PRD-000638,2024-08-02,Night,Plant-B,LINE-9,MCH-041,PROD-013,538,465,42,9,46.81,81.73,86.51,90.23,97.88,517.27,BATCH-0000638,W-0159,26.9
PRD-000639,2024-10-01,Night,Plant-B,LINE-7,MCH-048,PROD-016,1511,972,14,0,36.25,67.14,92.32,82.21,97.58,383.54,BATCH-0000639,W-0103,32.2
PRD-000640,2024-01-12,Afternoon,Plant-B,LINE-5,MCH-047,PROD-008,1375,1018,47,9,47.07,85.55,93.39,84.01,96.61,533.01,BATCH-0000640,W-0162,30.0
PRD-000641,2024-07-26,Night,Plant-C,LINE-3,MCH-049,PROD-016,1236,2047,15,33,44.4,67.91,94.15,90.84,97.24,317.94,BATCH-0000641,W-0163,1.5
PRD-000642,2024-07-26,Afternoon,Plant-C,LINE-2,MCH-026,PROD-015,1361,748,69,40,43.55,98.7,97.38,94.14,97.28,574.29,BATCH-0000642,W-0017,9.0
PRD-000643,2024-05-12,Night,Plant-A,LINE-7,MCH-040,PROD-024,1658,1919,82,20,39.0,73.38,93.23,86.26,97.3,521.53,BATCH-0000643,W-0004,2.4
PRD-000644,2024-01-10,Morning,Plant-B,LINE-8,MCH-039,PROD-019,1315,1648,53,44,35.99,74.67,85.85,90.79,98.79,469.3,BATCH-0000644,W-0020,6.7
PRD-000645,2024-06-26,Morning,Plant-B,LINE-1,MCH-032,PROD-022,1727,1928,57,12,24.93,86.01,91.57,84.84,97.94,450.67,BATCH-0000645,W-0189,12.9
PRD-000646,2024-02-20,Night,Plant-C,LINE-8,MCH-018,PROD-016,1894,435,46,36,59.06,70.15,81.5,82.76,97.2,392.37,BATCH-0000646,W-0093,13.5
PRD-000647,2024-02-21,Afternoon,Plant-B,LINE-5,MCH-040,PROD-022,658,1333,2,24,51.73,80.19,87.66,88.9,97.67,436.94,BATCH-0000647,W-0025,19.9
PRD-000648,2024-01-23,Morning,Plant-A,LINE-6,MCH-036,PROD-023,1215,786,70,8,40.54,76.02,91.96,82.69,95.46,652.19,BATCH-0000648,W-0039,0.7
PRD-000649,2024-04-03,Morning,Plant-B,LINE-4,MCH-024,PROD-012,1541,2065,43,45,45.99,73.34,95.38,90.05,95.3,548.92,BATCH-0000649,W-0170,32.9
PRD-000650,2024-02-16,Morning,Plant-A,LINE-5,MCH-023,PROD-002,1332,1196,70,21,42.06,67.95,91.18,90.94,95.97,432.32,BATCH-0000650,W-0165,101.4
PRD-000651,2024-03-23,Night,Plant-B,LINE-5,MCH-010,PROD-015,1095,963,9,9,45.07,76.35,93.38,94.73,100.0,646.29,BATCH-0000651,W-0090,38.7
