maintenance_id,machine_id,plant,maintenance_type,component_replaced,scheduled_date,actual_date,downtime_hours,labor_hours,parts_cost_USD,labor_cost_USD,technician_id,priority,status,failure_cause,work_order_id,notes
MNT-001932,MCH-021,Plant-C,Corrective,Belt,2024-11-03,2024-05-21,9.12,0.5,344.9,1386.96,TECH-001,High,Scheduled,Corrosion,WO-0001932,Scheduled replacement
MNT-001933,MCH-038,Plant-C,Preventive,Gearbox,2024-05-13,2024-09-18,11.18,3.11,288.31,27.14,TECH-004,High,Completed,Corrosion,WO-0001933,Post-incident repair
MNT-001934,MCH-015,Plant-C,Preventive,Coupling,2024-03-17,2024-10-17,2.19,3.37,578.27,755.21,TECH-030,High,Completed,Wear,WO-0001934,Scheduled replacement
MNT-001935,MCH-015,Plant-A,Corrective,Filter,2024-02-15,2024-08-03,3.71,1.48,47.19,303.99,TECH-009,Critical,Scheduled,Misalignment,WO-0001935,Routine check
MNT-001936,MCH-046,Plant-A,Preventive,Gearbox,2024-07-07,2024-04-11,7.3,0.5,1323.19,587.92,TECH-030,Medium,In Progress,Corrosion,WO-0001936,Post-incident repair
MNT-001937,MCH-035,Plant-C,Preventive,Valve,2024-03-28,2024-05-16,4.67,0.5,444.65,1064.74,TECH-012,High,Completed,Overload,WO-0001937,Unexpected failure
MNT-001938,MCH-005,Plant-B,Preventive,Sensor,2024-10-17,2024-01-27,2.17,1.16,124.16,97.8,TECH-028,High,Completed,Misalignment,WO-0001938,Routine check
MNT-001939,MCH-032,Plant-C,Preventive,Shaft,2024-03-01,2024-08-06,0.5,2.74,662.4,1006.57,TECH-025,Critical,Completed,Overload,WO-0001939,Upgrade
MNT-001940,MCH-027,Plant-C,Emergency,Coupling,2024-01-08,2024-11-17,1.94,2.16,81.17,528.86,TECH-007,High,Completed,Unknown,WO-0001940,Post-incident repair
MNT-001941,MCH-030,Plant-C,Emergency,Valve,2024-09-26,2024-09-07,17.5,2.52,86.32,99.38,TECH-023,High,Scheduled,Unknown,WO-0001941,Scheduled replacement
MNT-001942,MCH-007,Plant-B,Preventive,Coupling,2024-08-10,2024-10-31,1.18,1.77,247.82,361.45,TECH-014,High,Completed,Wear,WO-0001942,Post-incident repair
MNT-001943,MCH-004,Plant-A,Preventive,Sensor,2024-08-20,2024-02-25,3.42,0.52,310.92,52.75,TECH-026,High,Completed,Wear,WO-0001943,Post-incident repair
MNT-001944,MCH-048,Plant-A,Emergency,Belt,2024-12-10,2024-08-31,0.71,0.65,46.23,119.05,TECH-002,Medium,Completed,Wear,WO-0001944,Scheduled replacement
MNT-001945,MCH-012,Plant-A,Preventive,Motor,2024-09-10,2024-08-11,2.81,6.83,70.91,451.02,TECH-005,High,Cancelled,Unknown,WO-0001945,Upgrade
MNT-001946,MCH-012,Plant-A,Preventive,Filter,2024-03-01,2024-07-17,4.68,3.59,769.16,37.1,TECH-007,High,Completed,Unknown,WO-0001946,Upgrade
MNT-001947,MCH-003,Plant-B,Corrective,Coupling,2024-04-24,2024-06-09,6.09,3.77,690.28,3226.65,TECH-012,High,In Progress,Wear,WO-0001947,Upgrade
MNT-001948,MCH-014,Plant-B,Corrective,Shaft,2024-04-14,2024-03-02,4.04,1.79,795.31,164.5,TECH-030,Medium,Completed,Wear,WO-0001948,Scheduled replacement
MNT-001949,MCH-018,Plant-B,Preventive,Coupling,2024-04-07,2024-03-12,0.5,0.5,503.76,452.45,TECH-007,Critical,Completed,Corrosion,WO-0001949,Unexpected failure
MNT-001950,MCH-029,Plant-B,Corrective,Filter,2024-05-16,2024-04-02,2.89,3.0,858.13,86.4,TECH-028,Medium,Scheduled,Misalignment,WO-0001950,Upgrade
MNT-001951,MCH-001,Plant-A,Corrective,Gearbox,2024-05-27,2024-03-03,2.27,4.21,412.25,497.97,TECH-015,Medium,Completed,Unknown,WO-0001951,Scheduled replacement
MNT-001952,MCH-045,Plant-A,Preventive,Belt,2024-09-10,2024-07-04,1.08,2.59,502.8,367.2,TECH-029,Medium,Completed,Lubrication,WO-0001952,Upgrade
MNT-001953,MCH-039,Plant-A,Emergency,Gearbox,2024-07-14,2024-01-28,7.55,8.73,10.0,843.45,TECH-001,Medium,Completed,Misalignment,WO-0001953,Routine check
MNT-001954,MCH-003,Plant-C,Emergency,Coupling,2024-03-07,2024-01-22,3.19,2.12,946.82,348.98,TECH-016,Low,Scheduled,Unknown,WO-0001954,Unexpected failure
MNT-001955,MCH-013,Plant-C,Corrective,Pump,2024-08-08,2024-02-05,5.04,1.75,319.52,1053.33,TECH-014,Medium,Completed,Overload,WO-0001955,Scheduled replacement
MNT-001956,MCH-013,Plant-A,Predictive,Valve,2024-04-15,2024-05-22,10.09,6.92,1359.38,370.52,TECH-008,Low,Scheduled,Corrosion,WO-0001956,Routine check
MNT-001957,MCH-006,Plant-A,Predictive,Filter,2024-11-03,2024-02-25,0.64,0.5,880.32,369.84,TECH-010,High,In Progress,Unknown,WO-0001957,Scheduled replacement
MNT-001958,MCH-038,Plant-A,Corrective,Valve,2024-04-20,2024-10-07,6.5,0.98,1639.67,1369.43,TECH-030,High,Cancelled,Wear,WO-0001958,Unexpected failure
MNT-001959,MCH-029,Plant-C,Emergency,Bearing,2024-05-24,2024-10-01,3.31,9.68,608.44,103.67,TECH-001,Medium,Completed,Overload,WO-0001959,Post-incident repair
MNT-001960,MCH-022,Plant-A,Emergency,Sensor,2024-12-12,2024-05-17,1.97,2.78,988.0,529.85,TECH-010,High,Completed,Overload,WO-0001960,Scheduled replacement
MNT-001961,MCH-026,Plant-A,Predictive,Coupling,2024-04-06,2024-03-06,7.66,0.5,276.72,114.36,TECH-027,High,Completed,Overload,WO-0001961,Upgrade
MNT-001962,MCH-045,Plant-C,Preventive,Filter,2024-08-02,2024-02-19,0.5,0.5,1281.77,167.65,TECH-013,Medium,Completed,Corrosion,WO-0001962,Routine check
MNT-001963,MCH-031,Plant-C,Corrective,Valve,2024-04-02,2024-12-17,3.6,5.49,37.83,1053.45,TECH-009,High,In Progress,Overload,WO-0001963,Scheduled replacement
MNT-001964,MCH-039,Plant-A,Corrective,Sensor,2024-07-28,2024-08-04,6.22,2.06,2425.04,961.71,TECH-023,Medium,Completed,Overload,WO-0001964,Upgrade
MNT-001965,MCH-047,Plant-B,Corrective,Belt,2024-03-15,2024-04-14,3.78,1.99,34.16,505.05,TECH-008,Medium,Completed,Misalignment,WO-0001965,Routine check
MNT-001966,MCH-030,Plant-A,Corrective,Belt,2024-01-15,2024-01-21,4.07,12.01,1255.58,250.17,TECH-030,Medium,Scheduled,Lubrication,WO-0001966,Scheduled replacement
MNT-001967,MCH-037,Plant-B,Emergency,Shaft,2024-05-28,2024-12-04,7.74,0.57,422.75,279.04,TECH-023,Medium,Completed,Wear,WO-0001967,Unexpected failure
MNT-001968,MCH-023,Plant-A,Corrective,Shaft,2024-05-14,2024-10-17,0.5,1.72,536.52,935.49,TECH-017,High,Completed,Lubrication,WO-0001968,Routine check
MNT-001969,MCH-012,Plant-A,Overhaul,Filter,2024-04-30,2024-01-31,0.5,5.14,261.19,66.43,TECH-012,Low,Scheduled,Lubrication,WO-0001969,Upgrade
MNT-001970,MCH-038,Plant-C,Overhaul,Gearbox,2024-11-12,2024-01-06,7.73,7.59,323.0,68.45,TECH-017,Medium,Completed,Corrosion,WO-0001970,Routine check
MNT-001971,MCH-043,Plant-A,Corrective,Motor,2024-08-18,2024-02-27,0.77,1.19,620.19,240.13,TECH-009,Medium,Completed,Lubrication,WO-0001971,Upgrade
MNT-001972,MCH-003,Plant-B,Preventive,Shaft,2024-05-07,2024-06-21,2.37,5.98,331.86,662.08,TECH-027,Medium,Completed,Overload,WO-0001972,Upgrade
MNT-001973,MCH-045,Plant-C,Predictive,Bearing,2024-07-08,2024-11-15,0.5,0.72,216.9,83.35,TECH-008,Low,Completed,Corrosion,WO-0001973,Post-incident repair
MNT-001974,MCH-038,Plant-A,Emergency,Sensor,2024-10-25,2024-05-21,0.75,0.5,341.22,101.82,TECH-013,High,In Progress,Lubrication,WO-0001974,Scheduled replacement
MNT-001975,MCH-034,Plant-C,Emergency,Shaft,2024-12-16,2024-05-25,0.75,0.5,268.4,56.34,TECH-019,High,Cancelled,Unknown,WO-0001975,Upgrade
MNT-001976,MCH-034,Plant-C,Preventive,Motor,2024-11-27,2024-08-08,6.75,1.22,150.32,252.8,TECH-012,Low,Completed,Unknown,WO-0001976,Upgrade
MNT-001977,MCH-022,Plant-B,Preventive,Valve,2024-08-22,2024-05-03,2.47,0.99,1318.87,65.25,TECH-024,High,Completed,Wear,WO-0001977,Routine check
MNT-001978,MCH-018,Plant-C,Emergency,Sensor,2024-02-13,2024-04-28,6.44,1.97,155.36,616.57,TECH-021,High,Completed,Overload,WO-0001978,Routine check
MNT-001979,MCH-002,Plant-B,Predictive,Valve,2024-01-06,2024-04-22,1.26,4.2,388.11,177.8,TECH-030,High,Completed,Unknown,WO-0001979,Scheduled replacement
MNT-001980,MCH-028,Plant-C,Preventive,Filter,2024-08-28,2024-11-12,5.12,2.1,184.16,558.85,TECH-015,Medium,Completed,Misalignment,WO-0001980,Upgrade
MNT-001981,MCH-017,Plant-C,Preventive,Pump,2024-03-09,2024-11-05,2.67,3.3,53.43,1261.46,TECH-010,Medium,Completed,Lubrication,WO-0001981,Post-incident repair
MNT-001982,MCH-023,Plant-B,Preventive,Sensor,2024-06-14,2024-10-19,2.49,0.87,575.59,466.46,TECH-023,Medium,Completed,Lubrication,WO-0001982,Routine check
MNT-001983,MCH-040,Plant-C,Emergency,Sensor,2024-12-20,2024-05-16,5.41,1.35,763.32,590.08,TECH-008,Medium,Scheduled,Unknown,WO-0001983,Post-incident repair
MNT-001984,MCH-036,Plant-B,Corrective,Sensor,2024-07-22,2024-10-09,1.73,2.47,498.09,769.72,TECH-001,Medium,Completed,Wear,WO-0001984,Unexpected failure
MNT-001985,MCH-003,Plant-B,Preventive,Bearing,2024-12-17,2024-06-30,1.24,5.28,745.95,420.51,TECH-007,Low,Completed,Lubrication,WO-0001985,Post-incident repair
MNT-001986,MCH-038,Plant-A,Overhaul,Filter,2024-04-18,2024-05-01,2.94,4.7,224.51,100.97,TECH-016,Low,Completed,Overload,WO-0001986,Scheduled replacement
MNT-001987,MCH-002,Plant-A,Overhaul,Filter,2024-07-15,2024-03-18,4.38,0.93,39.07,30.07,TECH-014,High,Completed,Misalignment,WO-0001987,Routine check
MNT-001988,MCH-004,Plant-B,Preventive,Shaft,2024-12-28,2024-01-12,0.5,1.31,1059.11,137.97,TECH-001,Low,Completed,Overload,WO-0001988,Post-incident repair
MNT-001989,MCH-036,Plant-A,Corrective,Gearbox,2024-08-04,2024-10-10,1.14,4.76,1366.18,237.69,TECH-006,High,Completed,Unknown,WO-0001989,Scheduled replacement
MNT-001990,MCH-047,Plant-C,Preventive,Filter,2024-11-01,2024-10-26,3.16,2.09,293.07,57.09,TECH-019,Low,Scheduled,Unknown,WO-0001990,Unexpected failure
MNT-001991,MCH-038,Plant-C,Preventive,Valve,2024-05-11,2024-06-11,3.23,2.87,23.35,169.54,TECH-024,Critical,Scheduled,Wear,WO-0001991,Post-incident repair
MNT-001992,MCH-040,Plant-C,Corrective,Pump,2024-02-07,2024-04-22,2.27,3.28,309.39,1259.17,TECH-011,High,Completed,Wear,WO-0001992,Routine check
MNT-001993,MCH-035,Plant-C,Preventive,Belt,2024-02-18,2024-03-28,5.29,2.02,172.58,112.98,TECH-004,High,Scheduled,Wear,WO-0001993,Routine check
MNT-001994,MCH-018,Plant-C,Preventive,Pump,2024-10-12,2024-07-15,4.17,3.51,1305.45,130.41,TECH-007,Medium,Completed,Overload,WO-0001994,Unexpected failure
MNT-001995,MCH-016,Plant-A,Overhaul,Motor,2024-01-31,2024-04-14,5.77,5.45,361.51,398.16,TECH-023,Critical,Completed,Wear,WO-0001995,Scheduled replacement
MNT-001996,MCH-016,Plant-A,Predictive,Gearbox,2024-01-27,2024-10-04,1.88,1.89,1094.83,376.73,TECH-013,High,Cancelled,Corrosion,WO-0001996,Routine check
MNT-001997,MCH-042,Plant-C,Corrective,Pump,2024-06-19,2024-11-11,5.06,3.47,350.8,207.61,TECH-028,High,Completed,Lubrication,WO-0001997,Routine check
MNT-001998,MCH-036,Plant-A,Corrective,Belt,2024-04-30,2024-01-09,9.08,17.03,528.91,216.74,TECH-012,Low,Completed,Corrosion,WO-0001998,Post-incident repair
MNT-001999,MCH-018,Plant-A,Preventive,Shaft,2024-08-29,2024-03-23,3.05,2.05,726.92,860.87,TECH-016,Critical,Completed,Lubrication,WO-0001999,Post-incident repair
MNT-002000,MCH-003,Plant-B,Corrective,Coupling,2024-06-30,2024-02-16,2.14,1.28,854.73,984.57,TECH-008,Critical,Completed,Lubrication,WO-0002000,Unexpected failure
MNT-002001,MCH-007,Plant-B,Corrective,Sensor,2024-11-06,2024-10-19,3.56,2.45,80.26,69.83,TECH-029,Medium,Scheduled,Lubrication,WO-0002001,Scheduled replacement
MNT-002002,MCH-024,Plant-B,Corrective,Gearbox,2024-12-09,2024-11-10,10.74,0.99,696.76,156.7,TECH-028,Low,Cancelled,Misalignment,WO-0002002,Post-incident repair
MNT-002003,MCH-029,Plant-B,Preventive,Valve,2024-11-02,2024-05-18,12.65,1.5,320.01,925.38,TECH-028,Medium,Completed,Overload,WO-0002003,Scheduled replacement
MNT-002004,MCH-043,Plant-B,Corrective,Gearbox,2024-12-29,2024-09-05,2.68,4.17,10.0,219.55,TECH-002,Low,Completed,Wear,WO-0002004,Scheduled replacement
MNT-002005,MCH-041,Plant-B,Predictive,Bearing,2024-01-24,2024-03-04,4.13,0.94,1494.2,787.92,TECH-011,Critical,Completed,Unknown,WO-0002005,Post-incident repair
MNT-002006,MCH-031,Plant-A,Preventive,Bearing,2024-01-03,2024-02-18,1.83,2.23,138.42,689.77,TECH-005,Medium,Scheduled,Corrosion,WO-0002006,Unexpected failure
MNT-002007,MCH-008,Plant-A,Preventive,Filter,2024-05-09,2024-05-06,1.79,8.77,1283.99,228.9,TECH-006,High,Completed,Overload,WO-0002007,Routine check
MNT-002008,MCH-008,Plant-A,Corrective,Filter,2024-09-15,2024-07-27,2.74,2.9,221.78,1423.82,TECH-001,Medium,Completed,Wear,WO-0002008,Routine check
MNT-002009,MCH-002,Plant-B,Corrective,Gearbox,2024-11-13,2024-04-23,2.67,5.33,722.65,616.61,TECH-030,High,Completed,Overload,WO-0002009,Post-incident repair
MNT-002010,MCH-019,Plant-C,Predictive,Shaft,2024-07-14,2024-05-03,6.89,1.1,10.0,104.01,TECH-017,Medium,Scheduled,Overload,WO-0002010,Unexpected failure
MNT-002011,MCH-009,Plant-A,Preventive,Sensor,2024-06-03,2024-08-23,0.5,6.17,189.37,866.28,TECH-008,High,Completed,Unknown,WO-0002011,Unexpected failure
MNT-002012,MCH-028,Plant-C,Predictive,Coupling,2024-07-21,2024-11-08,6.44,2.52,77.71,3109.25,TECH-016,Critical,Completed,Misalignment,WO-0002012,Upgrade
MNT-002013,MCH-004,Plant-C,Predictive,Bearing,2024-12-09,2024-03-25,2.08,1.77,10.0,555.43,TECH-030,Critical,Completed,Lubrication,WO-0002013,Upgrade
MNT-002014,MCH-003,Plant-C,Preventive,Valve,2024-07-08,2024-03-29,4.21,0.84,418.34,266.74,TECH-025,Low,Completed,Lubrication,WO-0002014,Post-incident repair
MNT-002015,MCH-011,Plant-C,Emergency,Bearing,2024-03-08,2024-04-22,6.09,1.29,486.25,66.48,TECH-029,Low,Scheduled,Misalignment,WO-0002015,Scheduled replacement
MNT-002016,MCH-013,Plant-A,Predictive,Pump,2024-10-13,2024-05-23,5.31,0.5,1522.78,542.03,TECH-020,Low,Scheduled,Wear,WO-0002016,Upgrade
MNT-002017,MCH-038,Plant-B,Preventive,Coupling,2024-01-22,2024-02-24,4.7,1.43,680.21,169.69,TECH-010,Medium,Scheduled,Misalignment,WO-0002017,Post-incident repair
MNT-002018,MCH-019,Plant-A,Corrective,Gearbox,2024-10-24,2024-01-02,8.09,0.5,74.67,660.55,TECH-027,Low,Completed,Unknown,WO-0002018,Upgrade
MNT-002019,MCH-011,Plant-C,Overhaul,Bearing,2024-04-01,2024-05-02,0.5,3.46,830.86,178.95,TECH-011,Low,Completed,Lubrication,WO-0002019,Upgrade
MNT-002020,MCH-042,Plant-B,Emergency,Pump,2024-05-13,2024-12-09,4.39,0.53,10.0,483.4,TECH-011,High,Cancelled,Unknown,WO-0002020,Post-incident repair
MNT-002021,MCH-005,Plant-A,Preventive,Belt,2024-03-27,2024-06-06,5.08,1.45,450.01,46.16,TECH-005,Medium,Completed,Wear,WO-0002021,Scheduled replacement
MNT-002022,MCH-035,Plant-A,Preventive,Gearbox,2024-09-14,2024-08-10,3.43,0.5,206.26,243.41,TECH-019,High,Scheduled,Misalignment,WO-0002022,Scheduled replacement
MNT-002023,MCH-007,Plant-B,Preventive,Sensor,2024-09-09,2024-10-23,0.52,1.64,652.97,1638.47,TECH-023,High,Completed,Overload,WO-0002023,Post-incident repair
MNT-002024,MCH-009,Plant-C,Preventive,Filter,2024-06-22,2024-11-03,2.05,0.5,204.46,170.83,TECH-027,High,Completed,Wear,WO-0002024,Unexpected failure
MNT-002025,MCH-038,Plant-B,Corrective,Belt,2024-08-27,2024-07-16,3.22,0.91,2006.59,1331.7,TECH-011,High,Scheduled,Corrosion,WO-0002025,Scheduled replacement
MNT-002026,MCH-024,Plant-B,Predictive,Bearing,2024-03-08,2024-08-16,0.98,0.5,101.16,1269.04,TECH-023,Medium,Completed,Unknown,WO-0002026,Routine check
MNT-002027,MCH-045,Plant-C,Preventive,Shaft,2024-02-15,2024-04-19,8.65,2.05,657.0,291.39,TECH-020,Medium,In Progress,Overload,WO-0002027,Upgrade
MNT-002028,MCH-002,Plant-C,Preventive,Gearbox,2024-06-11,2024-04-28,3.39,1.23,474.01,75.37,TECH-008,Medium,Scheduled,Lubrication,WO-0002028,Scheduled replacement
MNT-002029,MCH-037,Plant-B,Preventive,Bearing,2024-12-29,2024-02-21,0.54,0.83,778.68,745.31,TECH-016,High,Cancelled,Lubrication,WO-0002029,Post-incident repair
MNT-002030,MCH-004,Plant-C,Predictive,Bearing,2024-09-28,2024-02-11,0.5,1.74,804.34,88.75,TECH-025,High,Completed,Unknown,WO-0002030,Routine check
MNT-002031,MCH-036,Plant-B,Preventive,Coupling,2024-08-09,2024-07-28,2.51,1.12,1338.34,64.62,TECH-014,High,Completed,Unknown,WO-0002031,Post-incident repair
MNT-002032,MCH-026,Plant-C,Predictive,Valve,2024-03-13,2024-12-30,0.5,1.89,871.43,280.99,TECH-024,Medium,Completed,Lubrication,WO-0002032,Routine check
MNT-002033,MCH-041,Plant-C,Preventive,Sensor,2024-05-13,2024-08-15,4.16,1.44,797.12,443.44,TECH-007,Medium,Completed,Wear,WO-0002033,Upgrade
MNT-002034,MCH-027,Plant-C,Preventive,Valve,2024-02-29,2024-08-14,6.68,4.42,482.1,654.04,TECH-018,Low,Scheduled,Corrosion,WO-0002034,Post-incident repair
MNT-002035,MCH-036,Plant-B,Predictive,Coupling,2024-06-09,2024-03-17,4.01,5.69,22.22,1093.38,TECH-009,Critical,Completed,Misalignment,WO-0002035,Unexpected failure
MNT-002036,MCH-006,Plant-A,Predictive,Filter,2024-01-23,2024-07-15,0.5,0.5,80.79,122.15,TECH-001,Medium,Scheduled,Overload,WO-0002036,Scheduled replacement
MNT-002037,MCH-036,Plant-A,Preventive,Pump,2024-03-06,2024-11-10,0.5,2.3,152.62,744.31,TECH-010,High,Completed,Overload,WO-0002037,Unexpected failure
MNT-002038,MCH-006,Plant-B,Preventive,Motor,2024-09-12,2024-07-13,0.52,0.5,98.25,157.28,TECH-014,High,Scheduled,Lubrication,WO-0002038,Scheduled replacement
MNT-002039,MCH-026,Plant-C,Preventive,Coupling,2024-05-23,2024-01-12,9.07,8.91,1701.57,302.33,TECH-005,High,Completed,Corrosion,WO-0002039,Scheduled replacement
MNT-002040,MCH-046,Plant-B,Preventive,Motor,2024-07-03,2024-10-04,6.68,1.03,204.52,677.26,TECH-019,Low,Completed,Unknown,WO-0002040,Routine check
MNT-002041,MCH-042,Plant-B,Preventive,Coupling,2024-08-08,2024-05-19,3.03,2.81,384.93,95.65,TECH-022,Low,Completed,Lubrication,WO-0002041,Scheduled replacement
MNT-002042,MCH-011,Plant-C,Preventive,Belt,2024-05-24,2024-04-15,0.99,0.61,810.76,60.74,TECH-003,Medium,Completed,Overload,WO-0002042,Scheduled replacement
MNT-002043,MCH-024,Plant-C,Preventive,Bearing,2024-05-14,2024-12-10,18.37,0.83,10.0,495.37,TECH-023,Medium,Completed,Overload,WO-0002043,Scheduled replacement
MNT-002044,MCH-029,Plant-A,Predictive,Motor,2024-11-09,2024-09-08,2.54,0.5,557.88,81.31,TECH-002,Medium,Completed,Unknown,WO-0002044,Upgrade
MNT-002045,MCH-047,Plant-B,Predictive,Bearing,2024-05-15,2024-08-11,9.56,2.34,90.32,79.97,TECH-012,Medium,Completed,Misalignment,WO-0002045,Upgrade
MNT-002046,MCH-028,Plant-A,Predictive,Motor,2024-09-21,2024-09-25,1.01,0.5,151.49,1995.06,TECH-030,Medium,Scheduled,Corrosion,WO-0002046,Scheduled replacement
MNT-002047,MCH-014,Plant-B,Corrective,Pump,2024-06-09,2024-06-24,4.29,1.25,1517.62,327.83,TECH-027,High,Scheduled,Overload,WO-0002047,Routine check
MNT-002048,MCH-026,Plant-A,Preventive,Gearbox,2024-08-11,2024-06-13,6.49,1.82,611.98,143.21,TECH-001,Low,Completed,Corrosion,WO-0002048,Scheduled replacement
MNT-002049,MCH-010,Plant-A,Preventive,Pump,2024-03-25,2024-01-11,6.16,4.45,152.13,241.58,TECH-023,Medium,Cancelled,Misalignment,WO-0002049,Post-incident repair
MNT-002050,MCH-005,Plant-B,Corrective,Pump,2024-06-10,2024-09-12,3.85,2.49,966.02,73.46,TECH-015,Medium,Completed,Corrosion,WO-0002050,Upgrade
MNT-002051,MCH-042,Plant-B,Preventive,Filter,2024-09-08,2024-09-16,4.94,1.56,111.17,144.44,TECH-019,Medium,Cancelled,Wear,WO-0002051,Unexpected failure
MNT-002052,MCH-042,Plant-C,Corrective,Motor,2024-03-18,2024-11-11,0.57,3.83,149.29,35.76,TECH-018,Medium,Cancelled,Wear,WO-0002052,Upgrade
MNT-002053,MCH-007,Plant-B,Preventive,Sensor,2024-10-11,2024-07-17,0.92,2.01,695.96,593.52,TECH-010,Medium,Cancelled,Misalignment,WO-0002053,Routine check
MNT-002054,MCH-028,Plant-B,Predictive,Bearing,2024-12-02,2024-08-14,0.8,1.04,179.2,1427.47,TECH-001,Medium,Completed,Wear,WO-0002054,Unexpected failure
MNT-002055,MCH-032,Plant-A,Preventive,Belt,2024-11-21,2024-11-06,3.17,2.9,267.17,242.43,TECH-001,Critical,Completed,Lubrication,WO-0002055,Scheduled replacement
MNT-002056,MCH-039,Plant-B,Preventive,Filter,2024-08-13,2024-04-15,3.03,2.77,208.42,81.09,TECH-018,Critical,Completed,Wear,WO-0002056,Upgrade
MNT-002057,MCH-028,Plant-A,Overhaul,Sensor,2024-01-28,2024-07-09,10.39,1.24,316.91,708.28,TECH-003,Medium,Completed,Misalignment,WO-0002057,Unexpected failure
MNT-002058,MCH-025,Plant-C,Preventive,Pump,2024-04-06,2024-03-14,5.7,1.11,315.89,48.45,TECH-017,High,Completed,Wear,WO-0002058,Upgrade
MNT-002059,MCH-028,Plant-A,Predictive,Sensor,2024-03-17,2024-12-26,0.78,2.14,180.12,745.65,TECH-018,Medium,Completed,Unknown,WO-0002059,Unexpected failure
MNT-002060,MCH-021,Plant-A,Preventive,Coupling,2024-01-28,2024-02-09,0.73,1.15,277.5,811.27,TECH-026,Medium,Completed,Wear,WO-0002060,Unexpected failure
MNT-002061,MCH-030,Plant-A,Preventive,Motor,2024-04-27,2024-11-03,1.17,1.26,41.66,420.77,TECH-003,Medium,Completed,Misalignment,WO-0002061,Routine check
MNT-002062,MCH-050,Plant-B,Preventive,Valve,2024-04-03,2024-12-23,27.95,0.79,141.64,820.75,TECH-003,Low,Completed,Overload,WO-0002062,Scheduled replacement
MNT-002063,MCH-035,Plant-B,Preventive,Bearing,2024-01-19,2024-12-15,0.74,0.91,138.15,1203.45,TECH-018,Low,Scheduled,Corrosion,WO-0002063,Scheduled replacement
MNT-002064,MCH-045,Plant-A,Preventive,Filter,2024-08-28,2024-07-12,1.89,1.44,1820.34,202.61,TECH-026,Medium,Cancelled,Unknown,WO-0002064,Scheduled replacement
MNT-002065,MCH-038,Plant-B,Preventive,Belt,2024-05-13,2024-03-27,1.5,2.91,668.44,118.95,TECH-003,High,In Progress,Unknown,WO-0002065,Routine check
MNT-002066,MCH-043,Plant-B,Preventive,Bearing,2024-03-24,2024-07-25,0.5,1.29,198.92,149.55,TECH-011,Low,Cancelled,Overload,WO-0002066,Routine check
MNT-002067,MCH-022,Plant-C,Predictive,Sensor,2024-12-27,2024-04-16,1.33,0.86,644.76,49.09,TECH-004,Low,Completed,Misalignment,WO-0002067,Routine check
MNT-002068,MCH-042,Plant-A,Corrective,Motor,2024-08-27,2024-04-21,0.94,20.64,1281.18,202.4,TECH-026,Medium,Completed,Overload,WO-0002068,Upgrade
MNT-002069,MCH-016,Plant-B,Corrective,Valve,2024-08-11,2024-06-09,15.02,2.6,127.88,81.03,TECH-009,Critical,Completed,Unknown,WO-0002069,Upgrade
MNT-002070,MCH-032,Plant-C,Preventive,Filter,2024-02-29,2024-06-29,5.19,3.49,624.33,651.09,TECH-025,High,Completed,Lubrication,WO-0002070,Unexpected failure
MNT-002071,MCH-026,Plant-C,Preventive,Bearing,2024-09-10,2024-07-26,6.57,8.77,2435.65,123.57,TECH-009,Medium,Completed,Lubrication,WO-0002071,Routine check
MNT-002072,MCH-048,Plant-B,Corrective,Coupling,2024-01-21,2024-05-20,7.44,1.5,210.58,1263.4,TECH-007,Medium,Completed,Lubrication,WO-0002072,Unexpected failure
MNT-002073,MCH-036,Plant-B,Corrective,Gearbox,2024-08-14,2024-05-07,1.13,0.5,1701.83,1031.91,TECH-011,Medium,Cancelled,Overload,WO-0002073,Unexpected failure
MNT-002074,MCH-038,Plant-C,Corrective,Belt,2024-07-01,2024-05-28,9.33,0.79,73.0,78.01,TECH-028,Low,Scheduled,Overload,WO-0002074,Scheduled replacement
MNT-002075,MCH-048,Plant-C,Corrective,Gearbox,2024-12-29,2024-04-28,3.13,3.32,400.91,377.53,TECH-009,High,Completed,Corrosion,WO-0002075,Post-incident repair
MNT-002076,MCH-029,Plant-A,Corrective,Motor,2024-10-14,2024-07-13,0.5,4.66,1386.38,282.36,TECH-016,Medium,In Progress,Misalignment,WO-0002076,Post-incident repair
MNT-002077,MCH-025,Plant-A,Corrective,Valve,2024-09-05,2024-11-03,3.73,4.84,461.1,419.49,TECH-017,Medium,Completed,Wear,WO-0002077,Post-incident repair
MNT-002078,MCH-008,Plant-A,Emergency,Valve,2024-08-22,2024-08-28,0.5,2.81,322.65,642.31,TECH-006,Critical,Scheduled,Misalignment,WO-0002078,Post-incident repair
MNT-002079,MCH-033,Plant-B,Preventive,Coupling,2024-09-09,2024-01-13,3.15,1.13,275.41,177.46,TECH-011,Medium,Completed,Lubrication,WO-0002079,Upgrade
MNT-002080,MCH-039,Plant-B,Preventive,Motor,2024-02-27,2024-12-17,3.06,4.98,167.18,216.99,TECH-022,Medium,Completed,Wear,WO-0002080,Scheduled replacement
MNT-002081,MCH-018,Plant-B,Overhaul,Bearing,2024-03-16,2024-10-15,4.12,4.27,199.45,503.26,TECH-026,Medium,Completed,Wear,WO-0002081,Upgrade
